decision_month,decision_date,ey,eyg,term_spread,pmi_gap,delta_pmi,loans_12m,val.pb,rate.fr007_mean,gro.ip_yoy,gro.retail_yoy,gro.gdp_yoy,inf.cpi_yoy,inf.ppi_yoy,liq.m2_yoy,mkt.hs300_tri,mkt.hs300_price
2008-01,2008-01-31,2.7839643652561246,-1.4097356347438752,0.44369999999999976,,,,5.5,2.980759,,,14.2,,5.43,,4739.52,4620.401
2008-02,2008-02-29,2.837684449489217,-1.2906155505107835,0.45420000000000016,3.0,,,5.41,3.035661,,21.2,14.2,7.0781,6.07,18.88,4795.07,4674.55
2008-03,2008-03-31,3.718854592785422,-0.3271454072145783,0.5487000000000002,3.3999999999999986,0.3999999999999986,,4.25,2.515671,15.4,19.1,14.2,8.7443,6.62,17.39,3888.42,3790.53
2008-04,2008-04-30,3.6483035388544325,-0.4241964611455673,0.5391999999999997,8.399999999999999,5.0,,4.42,3.055352,17.8,21.5,11.6,8.3097,7.95,16.19,4062.94,3959.119
2008-05,2008-05-30,3.952569169960474,-0.2063308300395259,0.5768,9.200000000000003,0.8000000000000043,,4.1,3.348557,15.7,22.0,11.6,8.4829,8.12,16.94,3711.73,3611.33
2008-06,2008-06-30,4.952947003467062,0.424447003467062,0.6858000000000004,3.299999999999997,-5.900000000000006,,3.37,3.392000,16.0,21.6,11.6,7.7163,8.22,18.07,2882.43,2791.819
2008-07,2008-07-31,4.906771344455349,0.4666713444553485,0.6349,2.0,-1.2999999999999972,,3.37,3.097257,16.0,23.0,11.3,7.0844,8.84,17.37,2902.64,2805.21
2008-08,2008-08-29,5.889281507656066,1.6658815076560662,0.6052,-1.6000000000000014,-3.6000000000000014,,2.88,3.247457,14.7,23.3,11.3,6.302,10.03,16.35,2475.64,2391.64
2008-09,2008-09-26,6.191950464396285,2.463750464396285,0.3761000000000001,-1.6000000000000014,0.0,,2.74,3.158489,12.8,23.2,11.3,4.9001,10.06,16.0,2323.22,2243.657
2008-10,2008-10-31,8.285004142502071,5.209904142502071,0.5152999999999999,1.2000000000000028,2.8000000000000043,,2.0,3.141530,11.4,23.2,10.7,4.6425,9.13,15.29,1722.99,1663.66
2008-11,2008-11-28,7.716049382716049,4.725549382716049,1.0324,-5.399999999999999,-6.600000000000001,,2.15,2.648965,8.2,22.0,10.7,3.9744,6.59,15.02,1895.91,1829.924
2008-12,2008-12-31,8.051529790660226,5.299429790660225,1.5847,-11.200000000000003,-5.800000000000004,,2.06,1.524152,5.4,20.8,10.7,2.434,1.99,14.8,1883.37,1817.722
2009-01,2009-01-23,7.326007326007326,4.289307326007325,1.8000000000000003,-8.799999999999997,2.4000000000000057,49042.0,2.25,0.958413,5.7,19.0,9.7,1.1999,-1.14,17.82,2106.1,2032.682
2009-02,2009-02-27,7.012622720897616,3.861822720897616,1.8240999999999998,-4.700000000000003,4.099999999999994,57161.0,2.35,0.952805,5.7,18.5,9.7,0.95,-3.35,18.79,2217.8,2140.489
2009-03,2009-03-31,5.851375073142188,2.6901750731421883,1.9484,-1.0,3.700000000000003,65442.0,2.58,0.953891,11.0,11.6,9.7,-1.5582,-4.47,20.48,2598.36,2507.789
2009-04,2009-04-30,5.227391531625719,2.120191531625719,1.8082000000000003,2.3999999999999986,3.3999999999999986,81528.0,2.6,0.943795,8.3,14.7,6.4,-1.1714,-5.99,25.51,2718.49,2622.926
2009-05,2009-05-27,4.918839153959666,1.8798391539596655,1.8164000000000002,3.5,1.1000000000000014,82756.0,2.77,0.953878,7.3,14.8,6.4,-1.5,-6.6,25.95,2864.81,2759.712
2009-06,2009-06-30,4.269854824935952,1.029554824935952,2.0196,3.1000000000000014,-0.3999999999999986,86240.0,3.31,1.016509,8.9,15.2,6.4,-1.3713,-7.2,25.74,3303.17,3166.474
2009-07,2009-07-31,3.7091988130563798,0.20619881305637966,1.6862000000000001,3.200000000000003,0.10000000000000142,98220.0,3.83,1.515674,10.7,15.0,7.3,-1.7,-7.8,28.46,3902.26,3734.622
2009-08,2009-08-31,5.030181086519115,1.549681086519115,1.7081000000000002,3.299999999999997,0.09999999999999432,98093.0,2.89,1.474895,10.8,15.2,7.3,-1.8057,-8.22,28.42,2958.4,2830.271
2009-09,2009-09-30,4.770992366412213,1.2577923664122133,1.6849999999999998,4.0,0.7000000000000028,99482.0,3.06,1.593165,12.3,15.4,7.3,-1.2043,-7.86,28.53,3142.84,3004.805
2009-10,2009-10-30,4.543389368468877,0.854789368468877,1.7821,4.299999999999997,0.29999999999999716,100904.0,3.16,1.524394,13.9,15.5,8.5,-0.7883,-6.99,29.31,3431.08,3280.372
2009-11,2009-11-30,4.308487720809995,0.751587720809995,1.6771000000000003,5.200000000000003,0.9000000000000057,101615.0,3.3,1.436790,16.1,16.2,8.5,-0.53,-5.85,29.42,3673.0,3511.669
2009-12,2009-12-31,4.168403501458942,0.5262035014589417,1.6737,5.200000000000003,0.0,99788.0,3.4,1.480557,19.2,15.8,8.5,0.56,-2.08,29.74,3739.99,3575.684
2010-01,2010-01-29,4.62962962962963,1.0496296296296297,1.5004,6.600000000000001,1.3999999999999986,95943.0,3.03,1.473765,18.5,17.5,9.4,1.8559,1.7,27.68,3351.39,3204.155
2010-02,2010-02-26,4.595588235294118,1.2202882352941176,1.3087,5.799999999999997,-0.8000000000000043,93700.0,3.06,1.843976,18.5,14.0,9.4,1.53,4.32,25.98,3432.46,3281.666
2010-03,2010-03-31,4.677268475210477,1.1954684752104772,1.4680999999999997,2.0,-3.799999999999997,89984.0,3.01,1.644948,12.8,22.1,9.4,2.6953,5.39,25.52,3499.54,3345.607
2010-04,2010-04-30,5.834305717619603,2.4778057176196033,1.3903,5.100000000000001,3.1000000000000014,76171.0,2.6,1.648638,18.1,18.0,12.2,2.3707,5.91,22.5,3210.61,3067.365
2010-05,2010-05-31,6.426735218508997,3.1837352185089975,1.1574,5.700000000000003,0.6000000000000014,77993.0,2.38,1.882795,17.8,18.5,12.2,2.8136,6.81,21.48,2909.36,2773.264
2010-06,2010-06-30,6.891798759476224,3.612798759476224,1.0116,3.8999999999999986,-1.8000000000000043,77817.0,2.25,2.686738,16.5,18.7,12.2,3.0613,7.13,21.0,2696.46,2563.07
