decision_month,feature,value,na_reason,reference_period_used,available_date_used,feature_regime,note
2008-01,ey,2.7840,,,2008-01-31,,100/PE_ttm
2008-01,eyg,-1.4097,,,2008-01-31,,100/PE_ttm - cn10y
2008-01,term_spread,0.4437,,,2008-01-31,,cn10y - cn2y
2008-01,pmi_gap,,NOT_RELEASED,,,,PMI 缺失
2008-01,m1_m2_gap,,NOT_RELEASED,,,,M1/M2 缺失
2008-02,ey,2.8377,,,2008-02-29,,100/PE_ttm
2008-02,eyg,-1.2906,,,2008-02-29,,100/PE_ttm - cn10y
2008-02,term_spread,0.4542,,,2008-02-29,,cn10y - cn2y
2008-02,pmi_gap,3.0000,,,2008-02-20,,gro.pmi - 50
2008-02,m1_m2_gap,1.6600,,,2008-02-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2008-01)
2008-03,ey,3.7189,,,2008-03-31,,100/PE_ttm
2008-03,eyg,-0.3271,,,2008-03-31,,100/PE_ttm - cn10y
2008-03,term_spread,0.5487,,,2008-03-31,,cn10y - cn2y
2008-03,pmi_gap,3.4000,,,2008-03-20,,gro.pmi - 50
2008-03,m1_m2_gap,1.5600,,,2008-03-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2008-02)
2008-04,ey,3.6483,,,2008-04-30,,100/PE_ttm
2008-04,eyg,-0.4242,,,2008-04-30,,100/PE_ttm - cn10y
2008-04,term_spread,0.5392,,,2008-04-30,,cn10y - cn2y
2008-04,pmi_gap,8.4000,,,2008-04-20,,gro.pmi - 50
2008-04,m1_m2_gap,1.7800,,,2008-04-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2008-03)
2008-05,ey,3.9526,,,2008-05-30,,100/PE_ttm
2008-05,eyg,-0.2063,,,2008-05-30,,100/PE_ttm - cn10y
2008-05,term_spread,0.5768,,,2008-05-30,,cn10y - cn2y
2008-05,pmi_gap,9.2000,,,2008-05-20,,gro.pmi - 50
2008-05,m1_m2_gap,2.1100,,,2008-05-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2008-04)
2008-06,ey,4.9529,,,2008-06-30,,100/PE_ttm
2008-06,eyg,0.4244,,,2008-06-30,,100/PE_ttm - cn10y
2008-06,term_spread,0.6858,,,2008-06-30,,cn10y - cn2y
