target_id,horizon_months,target_type,unit,formula,anchor_type,entry_rule,end_rule,risk_anchor,na_rule,depends_on,notes
forward_36m_state,36,STATE_RETURN,DECIMAL_RETURN,TR(target月最后交易日)/TR(decision_date)-1,STATE,DECISION_DATE,TARGET_MONTH_LAST_TRADING_DAY,DECISION_DATE,HORIZON_INCOMPLETE,H00300 daily,0.20=20%
forward_36m_execution,36,EXECUTION_RETURN,DECIMAL_RETURN,TR(target月最后交易日)/TR(next trading day)-1,EXECUTION,NEXT_TRADING_DAY,TARGET_MONTH_LAST_TRADING_DAY,NEXT_TRADING_DAY,HORIZON_INCOMPLETE/ENTRY_NOT_AVAILABLE,H00300 daily,0.20=20%
loss_flag_36m,36,LOSS_FLAG,BINARY,1 if forward_{h}m_state < 0 else 0,STATE,DECISION_DATE,TARGET_MONTH_LAST_TRADING_DAY,DECISION_DATE,HORIZON_INCOMPLETE,state return,信号视角
future_max_drawdown_36m,36,FUTURE_MDD,DECIMAL_RETURN,"min(TR_v/cummax(TR)-1) over [decision_date, target月末]",STATE,DECISION_DATE,TARGET_MONTH_LAST_TRADING_DAY,DECISION_DATE,HORIZON_INCOMPLETE,H00300 daily path,STATE-PATH MDD (risk_anchor=DECISION_DATE); MDD<=0
forward_60m_state,60,STATE_RETURN,DECIMAL_RETURN,TR(target月最后交易日)/TR(decision_date)-1,STATE,DECISION_DATE,TARGET_MONTH_LAST_TRADING_DAY,DECISION_DATE,HORIZON_INCOMPLETE,H00300 daily,0.20=20%
forward_60m_execution,60,EXECUTION_RETURN,DECIMAL_RETURN,TR(target月最后交易日)/TR(next trading day)-1,EXECUTION,NEXT_TRADING_DAY,TARGET_MONTH_LAST_TRADING_DAY,NEXT_TRADING_DAY,HORIZON_INCOMPLETE/ENTRY_NOT_AVAILABLE,H00300 daily,0.20=20%
loss_flag_60m,60,LOSS_FLAG,BINARY,1 if forward_{h}m_state < 0 else 0,STATE,DECISION_DATE,TARGET_MONTH_LAST_TRADING_DAY,DECISION_DATE,HORIZON_INCOMPLETE,state return,信号视角
future_max_drawdown_60m,60,FUTURE_MDD,DECIMAL_RETURN,"min(TR_v/cummax(TR)-1) over [decision_date, target月末]",STATE,DECISION_DATE,TARGET_MONTH_LAST_TRADING_DAY,DECISION_DATE,HORIZON_INCOMPLETE,H00300 daily path,STATE-PATH MDD (risk_anchor=DECISION_DATE); MDD<=0
forward_120m_state,120,STATE_RETURN,DECIMAL_RETURN,TR(target月最后交易日)/TR(decision_date)-1,STATE,DECISION_DATE,TARGET_MONTH_LAST_TRADING_DAY,DECISION_DATE,HORIZON_INCOMPLETE,H00300 daily,0.20=20%
forward_120m_execution,120,EXECUTION_RETURN,DECIMAL_RETURN,TR(target月最后交易日)/TR(next trading day)-1,EXECUTION,NEXT_TRADING_DAY,TARGET_MONTH_LAST_TRADING_DAY,NEXT_TRADING_DAY,HORIZON_INCOMPLETE/ENTRY_NOT_AVAILABLE,H00300 daily,0.20=20%
loss_flag_120m,120,LOSS_FLAG,BINARY,1 if forward_{h}m_state < 0 else 0,STATE,DECISION_DATE,TARGET_MONTH_LAST_TRADING_DAY,DECISION_DATE,HORIZON_INCOMPLETE,state return,信号视角
future_max_drawdown_120m,120,FUTURE_MDD,DECIMAL_RETURN,"min(TR_v/cummax(TR)-1) over [decision_date, target月末]",STATE,DECISION_DATE,TARGET_MONTH_LAST_TRADING_DAY,DECISION_DATE,HORIZON_INCOMPLETE,H00300 daily path,STATE-PATH MDD (risk_anchor=DECISION_DATE); MDD<=0
