decision_month,target_id,value,na_reason,decision_date,state_start_date,execution_entry_date,target_end_date,path_start_date,path_end_date,path_n_obs,observed_data_end_date
2008-01,forward_36m_state,-0.31380604,,2008-01-31,2008-01-31,,2011-01-31,2008-01-31,2011-01-31,,
2008-01,forward_36m_execution,-0.30653415,,2008-01-31,2008-01-31,2008-02-01,2011-01-31,2008-01-31,2011-01-31,,
2008-01,loss_flag_36m,1,,2008-01-31,2008-01-31,,2011-01-31,2008-01-31,2011-01-31,,
2008-01,future_max_drawdown_36m,-0.67267096,,2008-01-31,2008-01-31,,2011-01-31,2008-01-31,2011-01-31,731,
2008-01,forward_60m_state,-0.38032543,,2008-01-31,2008-01-31,,2013-01-31,2008-01-31,2013-01-31,,
2008-01,forward_60m_execution,-0.37375848,,2008-01-31,2008-01-31,2008-02-01,2013-01-31,2008-01-31,2013-01-31,,
2008-01,loss_flag_60m,1,,2008-01-31,2008-01-31,,2013-01-31,2008-01-31,2013-01-31,,
2008-01,future_max_drawdown_60m,-0.67267096,,2008-01-31,2008-01-31,,2013-01-31,2008-01-31,2013-01-31,1218,
2008-01,forward_120m_state,0.10103344,,2008-01-31,2008-01-31,,2018-01-31,2008-01-31,2018-01-31,,
2008-01,forward_120m_execution,0.11270155,,2008-01-31,2008-01-31,2008-02-01,2018-01-31,2008-01-31,2018-01-31,,
2008-01,loss_flag_120m,0,,2008-01-31,2008-01-31,,2018-01-31,2008-01-31,2018-01-31,,
2008-01,future_max_drawdown_120m,-0.67267096,,2008-01-31,2008-01-31,,2018-01-31,2008-01-31,2018-01-31,2435,
2008-02,forward_36m_state,-0.28578936,,2008-02-29,2008-02-29,,2011-02-28,2008-02-29,2011-02-28,,
2008-02,forward_36m_execution,-0.30311176,,2008-02-29,2008-02-29,2008-03-03,2011-02-28,2008-02-29,2011-02-28,,
2008-02,loss_flag_36m,1,,2008-02-29,2008-02-29,,2011-02-28,2008-02-29,2011-02-28,,
2008-02,future_max_drawdown_36m,-0.65695547,,2008-02-29,2008-02-29,,2011-02-28,2008-02-29,2011-02-28,730,
2008-02,forward_60m_state,-0.39059492,,2008-02-29,2008-02-29,,2013-02-28,2008-02-29,2013-02-28,,
2008-02,forward_60m_execution,-0.40537538,,2008-02-29,2008-02-29,2008-03-03,2013-02-28,2008-02-29,2013-02-28,,
2008-02,loss_flag_60m,1,,2008-02-29,2008-02-29,,2013-02-28,2008-02-29,2013-02-28,,
2008-02,future_max_drawdown_60m,-0.65695547,,2008-02-29,2008-02-29,,2013-02-28,2008-02-29,2013-02-28,1217,
2008-02,forward_120m_state,0.02407890,,2008-02-29,2008-02-29,,2018-02-28,2008-02-29,2018-02-28,,
2008-02,forward_120m_execution,-0.00075902,,2008-02-29,2008-02-29,2008-03-03,2018-02-28,2008-02-29,2018-02-28,,
2008-02,loss_flag_120m,0,,2008-02-29,2008-02-29,,2018-02-28,2008-02-29,2018-02-28,,
2008-02,future_max_drawdown_120m,-0.65695547,,2008-02-29,2008-02-29,,2018-02-28,2008-02-29,2018-02-28,2434,
2008-03,forward_36m_state,-0.12355918,,2008-03-31,2008-03-31,,2011-03-31,2008-03-31,2011-03-31,,
2008-03,forward_36m_execution,-0.07275963,,2008-03-31,2008-03-31,2008-04-01,2011-03-31,2008-03-31,2011-03-31,,
2008-03,loss_flag_36m,1,,2008-03-31,2008-03-31,,2011-03-31,2008-03-31,2011-03-31,,
2008-03,future_max_drawdown_36m,-0.59496460,,2008-03-31,2008-03-31,,2011-03-31,2008-03-31,2011-03-31,732,
2008-03,forward_60m_state,-0.29855571,,2008-03-31,2008-03-31,,2013-03-29,2008-03-31,2013-03-29,,
2008-03,forward_60m_execution,-0.25789916,,2008-03-31,2008-03-31,2008-04-01,2013-03-29,2008-03-31,2013-03-29,,
2008-03,loss_flag_60m,1,,2008-03-31,2008-03-31,,2013-03-29,2008-03-31,2013-03-29,,
2008-03,future_max_drawdown_60m,-0.59496460,,2008-03-31,2008-03-31,,2013-03-29,2008-03-31,2013-03-29,1217,
2008-03,forward_120m_state,0.22360496,,2008-03-31,2008-03-31,,2018-03-30,2008-03-31,2018-03-30,,
2008-03,forward_120m_execution,0.29452657,,2008-03-31,2008-03-31,2008-04-01,2018-03-30,2008-03-31,2018-03-30,,
2008-03,loss_flag_120m,0,,2008-03-31,2008-03-31,,2018-03-30,2008-03-31,2018-03-30,,
2008-03,future_max_drawdown_120m,-0.59496460,,2008-03-31,2008-03-31,,2018-03-30,2008-03-31,2018-03-30,2435,
2008-04,forward_36m_state,-0.16897124,,2008-04-30,2008-04-30,,2011-04-29,2008-04-30,2011-04-29,,
2008-04,forward_36m_execution,-0.18877594,,2008-04-30,2008-04-30,2008-05-05,2011-04-29,2008-04-30,2011-04-29,,
2008-04,loss_flag_36m,1,,2008-04-30,2008-04-30,,2011-04-29,2008-04-30,2011-04-29,,
2008-04,future_max_drawdown_36m,-0.59496460,,2008-04-30,2008-04-30,,2011-04-29,2008-04-30,2011-04-29,730,
2008-04,forward_60m_state,-0.34138087,,2008-04-30,2008-04-30,,2013-04-26,2008-04-30,2013-04-26,,
