decision_month,forward_120m_execution,forward_120m_state,forward_36m_execution,forward_36m_state,forward_60m_execution,forward_60m_state,future_max_drawdown_120m,future_max_drawdown_36m,future_max_drawdown_60m,loss_flag_120m,loss_flag_36m,loss_flag_60m
2008-01,0.11270155,0.10103344,-0.30653415,-0.31380604,-0.37375848,-0.38032543,-0.67267096,-0.67267096,-0.67267096,0,1,1
2008-02,-0.00075902,0.02407890,-0.30311176,-0.28578936,-0.40537538,-0.39059492,-0.65695547,-0.65695547,-0.65695547,0,1,1
2008-03,0.29452657,0.22360496,-0.07275963,-0.12355918,-0.25789916,-0.29855571,-0.59496460,-0.59496460,-0.59496460,0,1,1
2008-04,0.10175799,0.12865560,-0.18877594,-0.16897124,-0.35707679,-0.34138087,-0.59496460,-0.59496460,-0.59496460,0,1,1
2008-05,0.24845909,0.25349096,-0.14718155,-0.14374429,-0.23343235,-0.23034272,-0.54763879,-0.54763879,-0.54763879,0,1,1
2008-06,0.55274197,0.50126456,0.16588503,0.12723292,-0.12509374,-0.15409915,-0.46058855,-0.45878293,-0.45878293,0,0,1
2008-07,0.48713369,0.50599799,0.08166466,0.09538558,-0.16606792,-0.15548949,-0.46058855,-0.42648990,-0.42648990,0,0,1
2008-08,0.73780368,0.67787724,0.27460496,0.23065147,0.08350521,0.04614160,-0.46058855,-0.33092832,-0.41745809,0,0,0
2008-09,0.94501068,0.84570983,0.25352330,0.18952574,0.22430725,0.16180129,-0.46058855,-0.33092832,-0.41745809,0,0,0
2008-10,1.29703184,1.28306026,0.68500038,0.67475145,0.55309458,0.54364796,-0.46058855,-0.33092832,-0.41745809,0,0,0
2008-11,1.04907270,1.08745141,0.39780058,0.42398110,0.41491234,0.44141336,-0.46058855,-0.33092832,-0.41745809,0,0,0
2008-12,0.92515005,0.99424967,0.28737500,0.33358289,0.33818049,0.38621195,-0.46058855,-0.37628569,-0.41745809,0,0,0
2009-01,0.87400064,0.89647690,0.23795605,0.25280376,0.15786634,0.17175348,-0.46058855,-0.38403900,-0.41745809,0,0,0
2009-02,1.04154981,1.06460907,0.25752057,0.27172423,0.08863722,0.10093336,-0.46058855,-0.38403900,-0.41745809,0,0,0
2009-03,0.83029259,0.85980003,-0.00436701,0.01168429,-0.08898779,-0.07430071,-0.46058855,-0.38403900,-0.41745809,0,0,1
2009-04,0.73686100,0.79736545,-0.00000355,0.03483184,-0.13944668,-0.10946886,-0.46058855,-0.38403900,-0.41745809,0,0,1
2009-05,0.53312082,0.58814023,-0.04717248,-0.01297817,-0.18270533,-0.15337492,-0.46058855,-0.38403900,-0.41745809,0,1,1
2009-06,0.42784899,0.46081794,-0.20968859,-0.19144034,-0.27286473,-0.25607522,-0.46058855,-0.38403900,-0.41745809,0,1,1
2009-07,0.23241732,0.24971171,-0.35751399,-0.34849805,-0.31733223,-0.30775243,-0.46058855,-0.38403900,-0.41745809,0,1,1
2009-08,0.62912542,0.63701663,-0.19028301,-0.18636087,-0.09485557,-0.09047120,-0.46058855,-0.37273251,-0.39929744,0,1,1
2009-09,0.47055642,0.54832254,-0.24261417,-0.20256201,-0.14728441,-0.10219101,-0.46058855,-0.37773070,-0.39929744,0,1,1
2009-10,0.39744074,0.44533791,-0.30549106,-0.28168682,-0.18624108,-0.15834956,-0.46058855,-0.37773070,-0.39929744,0,1,1
2009-11,0.31171213,0.33007895,-0.37203545,-0.36324258,-0.13168995,-0.11953172,-0.46058855,-0.39735341,-0.39929744,0,1,1
2009-12,0.41379031,0.39779251,-0.25418710,-0.26262637,0.10037402,0.08792269,-0.46058855,-0.38550022,-0.38550022,0,1,0
2010-01,0.54945445,0.52457637,-0.10935898,-0.12365914,0.19947052,0.18021179,-0.46058855,-0.38550022,-0.38550022,0,1,0
2010-02,0.44599072,0.46482989,-0.15962360,-0.14867471,0.18337273,0.19879037,-0.46058855,-0.38550022,-0.38550022,0,1,0
2010-03,0.32580891,0.34416809,-0.23125423,-0.22060899,0.31503100,0.33324094,-0.46058855,-0.38550022,-0.38550022,0,1,0
2010-04,0.58013688,0.55548946,-0.15332871,-0.16653533,0.73219049,0.70517129,-0.46058855,-0.38550022,-0.38550022,0,1,0
2010-05,0.71963652,0.70161479,-0.00768010,-0.01807958,0.94132767,0.92098262,-0.46058855,-0.38550022,-0.38550022,0,1,0
2010-06,1.01954384,0.99160010,-0.08307166,-0.09575888,0.94964932,0.92267269,-0.46058855,-0.38550022,-0.38550022,0,1,0
2010-07,0.97942591,1.01284197,-0.20439394,-0.19096277,0.44628797,0.47070375,-0.46058855,-0.38550022,-0.38550022,0,1,0
2010-08,1.05693437,1.04337221,-0.14988396,-0.15548911,0.29093153,0.28241992,-0.46058855,-0.38550022,-0.42860838,0,1,0
2010-09,0.85588967,0.92458181,-0.16126647,-0.13022238,0.16336088,0.20642041,-0.46058855,-0.38550022,-0.42860838,0,1,0
2010-10,0.66541372,0.71124626,-0.27555334,-0.25561641,0.12535205,0.15632198,-0.46058855,-0.38550022,-0.42860838,0,1,0
2010-11,0.94947996,0.94888032,-0.17565880,-0.17591236,0.25771314,0.25732629,-0.46058855,-0.35344143,-0.42860838,0,1,0
2010-12,1.01383505,1.05337563,-0.22572638,-0.21052393,0.29377467,0.31917725,-0.46058855,-0.35344143,-0.42860838,0,1,0
2011-01,1.14373895,1.14427946,-0.24137963,-0.24118835,0.05893546,0.05920245,-0.46058855,-0.35344143,-0.46058855,0,1,0
2011-02,1.02094801,1.03051371,-0.29040367,-0.28704496,-0.02193322,-0.01730376,-0.46058855,-0.35344143,-0.46058855,0,1,1
2011-03,0.90111091,0.93026934,-0.30487481,-0.29421327,0.08773380,0.10441700,-0.46058855,-0.35344143,-0.46058855,0,1,0
2011-04,0.96789354,0.97924133,-0.28710883,-0.28299797,0.08792099,0.09419444,-0.46058855,-0.32120004,-0.46058855,0,1,0
2011-05,1.18807988,1.19048263,-0.23769204,-0.23685494,0.16831360,0.16959653,-0.46058855,-0.31091621,-0.46058855,0,1,0
2011-06,1.10635155,1.11101912,-0.24538366,-0.24371147,0.14326382,0.14579723,-0.46058855,-0.31091621,-0.46058855,0,1,0
2011-07,0.99560240,0.99956912,-0.15207968,-0.15039424,0.19919456,0.20157823,-0.46058855,-0.27644287,-0.46058855,0,1,0
2011-08,1.09855120,1.08952784,-0.11300292,-0.11681683,0.31062287,0.30498745,-0.46058855,-0.24338864,-0.46058855,0,1,0
2011-09,1.35529945,1.33315723,0.03072821,0.02103831,0.42101149,0.40765253,-0.46058855,-0.22926636,-0.46058855,0,0,0
2011-10,1.25385047,1.25570942,-0.00006579,0.00075895,0.38140764,0.38254701,-0.46058855,-0.22926636,-0.46058855,0,0,0
2011-11,1.31647881,1.37352115,0.16908995,0.19787831,0.52949512,0.56715832,-0.46058855,-0.22926636,-0.46058855,0,0,0
2011-12,1.66181967,1.60850125,0.65310484,0.61999180,0.60829555,0.57608008,-0.46058855,-0.22926636,-0.46058855,0,0,0
2012-01,1.32706468,1.29376206,0.52083806,0.49907335,0.55787325,0.53557852,-0.46058855,-0.22926636,-0.46058855,0,0,0
2012-02,1.15489241,1.15423535,0.45937146,0.45892648,0.46448572,0.46403917,-0.46058855,-0.22926636,-0.46058855,0,0,0
2012-03,1.08111372,1.13025351,0.73396289,0.77490566,0.53640752,0.57268557,-0.46058855,-0.22926636,-0.46058855,0,0,0
2012-04,0.85425052,0.89472767,0.90449421,0.94606815,0.43166852,0.46292096,-0.46058855,-0.22926636,-0.46058855,0,0,0
2012-05,0.92310901,0.92417678,0.97541001,0.97650683,0.48055988,0.48138193,-0.46058855,-0.22926636,-0.46058855,0,0,0
2012-06,1.24561305,1.24959844,0.93769879,0.94113771,0.65315916,0.65609310,-0.46058855,-0.22926636,-0.46058855,0,0,0
2012-07,1.18928014,1.21342627,0.73364146,0.75276223,0.76891265,0.78842243,-0.46058855,-0.31087355,-0.46058855,0,0,0
2012-08,1.26611764,1.29203555,0.61538240,0.63385776,0.91375585,0.93564375,-0.46058855,-0.42860838,-0.46058855,0,0,0
2012-09,1.07544044,1.05458020,0.50897006,0.49380342,0.88669625,0.86773308,-0.46058855,-0.42860838,-0.46058855,0,0,0
2012-10,0.89190814,0.92804077,0.64494796,0.67636402,0.94652541,0.98370114,-0.46058855,-0.42860838,-0.46058855,0,0,0
2012-11,1.26400246,1.23139973,0.80877868,0.78273139,1.12061793,1.09008000,-0.46058855,-0.42860838,-0.46058855,0,0,0
2012-12,0.90332214,0.90442640,0.58095507,0.58187231,0.78247933,0.78351349,-0.46058855,-0.42860838,-0.46058855,0,0,0
2013-01,0.88060334,0.92011127,0.14876978,0.17290327,0.74023397,0.77679301,-0.46058855,-0.46058855,-0.46058855,0,0,0
2013-02,0.89289154,0.88971097,0.15363890,0.15170047,0.68328517,0.68045679,-0.46058855,-0.46058855,-0.46058855,0,0,0
2013-03,1.01694045,1.01540233,0.38100043,0.37994728,0.74573920,0.74440790,-0.46058855,-0.46058855,-0.46058855,0,0,0
2013-04,1.04222155,1.04417530,0.37930700,0.38062655,0.71203178,0.71366964,-0.46058855,-0.46058855,-0.46058855,0,0,0
2013-05,0.80850461,0.80838432,0.30128091,0.30119436,0.62874356,0.62863524,-0.46058855,-0.46058855,-0.46058855,0,0,0
2013-06,1.15014916,1.16382651,0.51721847,0.52686968,0.76353433,0.77475238,-0.46058855,-0.46058855,-0.46058855,0,0,0
2013-07,1.21465683,1.26751818,0.52219283,0.55852585,0.74170658,0.78327914,-0.46058855,-0.46058855,-0.46058855,0,0,0
2013-08,1.01132430,1.01691591,0.53089443,0.53515041,0.59942551,0.60387201,-0.46058855,-0.46058855,-0.46058855,0,0,0
2013-09,0.87183236,0.89731839,0.42188408,0.44124381,0.56732228,0.58866223,-0.46058855,-0.46058855,-0.46058855,0,0,0
2013-10,0.85701776,0.86581519,0.49289561,0.49996804,0.47202961,0.47900319,-0.46058855,-0.46058855,-0.46058855,0,0,0
2013-11,0.79235481,0.77753871,0.56110988,0.54820531,0.46026861,0.44819763,-0.46058855,-0.46058855,-0.46058855,0,0,0
2013-12,0.83423338,0.82789620,0.52149916,0.51624246,0.44362021,0.43863258,-0.46058855,-0.46058855,-0.46058855,0,0,0
2014-01,0.80393857,0.81215481,0.63435078,0.64179461,0.61115660,0.61849479,-0.46058855,-0.46058855,-0.46058855,0,0,0
2014-02,0.99246261,1.00289149,0.68235395,0.69115967,0.86556145,0.87532611,-0.46058855,-0.46058855,-0.46058855,0,0,0
2014-03,1.02969300,1.04559099,0.70540893,0.71876689,0.99346160,1.00907579,-0.46058855,-0.46058855,-0.46058855,0,0,0
2014-04,1.07537472,1.07327440,0.70169323,0.69997109,1.02035188,1.01830724,-0.46058855,-0.46058855,-0.46058855,0,0,0
2014-05,1.06587968,1.05998549,0.73198263,0.72704109,0.88121563,0.87584831,-0.46058855,-0.46058855,-0.46058855,0,0,0
2014-06,0.98196061,0.98203320,0.79991454,0.79998047,0.96359160,0.96366352,-0.46058855,-0.46058855,-0.46058855,0,0,0
2014-07,0.83003914,0.81385466,0.69817438,0.68315607,0.82140403,0.80529591,-0.46058855,-0.46058855,-0.46058855,0,0,0
2014-08,0.74897707,0.76171699,0.71905105,0.73157298,0.78683565,0.79985134,-0.46058855,-0.46058855,-0.46058855,0,0,0
2014-09,1.01213020,1.03462134,0.64059077,0.65892893,0.70549311,0.72455673,-0.46058855,-0.46058855,-0.46058855,0,0,0
2014-10,0.92488842,0.92812793,0.69016086,0.69300533,0.71438103,0.71726626,-0.46058855,-0.46058855,-0.46058855,0,0,0
2014-11,0.72788315,0.73464731,0.50565819,0.51155240,0.50475880,0.51064948,-0.46058855,-0.46058855,-0.46058855,0,0,0
2014-12,0.34572227,0.38679027,0.17303404,0.20883204,0.24677855,0.28482705,-0.46058855,-0.46058855,-0.46058855,0,0,0
2015-01,0.42017283,0.38691393,0.35095736,0.31931940,0.32275961,0.29178202,-0.46058855,-0.46058855,-0.46058855,0,0,0
2015-02,0.34793154,0.35865656,0.18396206,0.19338242,0.21227764,0.22192330,-0.46058855,-0.46058855,-0.46058855,0,0,0
2015-03,0.17631342,0.19741820,0.00177916,0.01975254,-0.00957376,0.00819593,-0.46058855,-0.46058855,-0.46058855,0,0,0
2015-04,-0.01657156,-0.00869464,-0.16903718,-0.16238145,-0.09502962,-0.08778111,-0.46058855,-0.46058855,-0.46058855,1,1,1
2015-05,-0.05532900,-0.00936511,-0.20614050,-0.16751449,-0.15529556,-0.11419564,-0.46058855,-0.46058855,-0.46058855,1,1,1
2015-06,0.16007966,0.10330202,-0.12237282,-0.16532643,0.08915624,0.03584979,-0.41561007,-0.35637614,-0.35637614,0,1,0
2015-07,0.33409085,0.33847086,-0.02222456,-0.01901438,0.36414635,0.36862503,-0.41561007,-0.30034324,-0.30949612,0,1,0
2015-08,0.67828527,0.67606622,0.05759482,0.05619646,0.59548173,0.59337217,-0.41561007,-0.26385399,-0.30949612,0,0,0
2015-09,0.76780116,0.81942144,0.11286178,0.14535766,0.55002180,0.59528287,-0.41561007,-0.26385399,-0.30949612,0,0,0
2015-10,0.67940083,0.65178444,-0.03197157,-0.04789002,0.50464735,0.47990464,-0.41561007,-0.29131858,-0.30949612,0,1,0
2015-11,0.58659500,0.59784337,-0.05749185,-0.05080982,0.53910784,0.55001955,-0.41561007,-0.29131858,-0.30949612,0,1,0
2015-12,0.68302118,0.56486278,-0.07402550,-0.13903458,0.67408910,0.55655780,-0.41561007,-0.30353152,-0.30949612,0,1,0
2016-01,1.04814422,1.01682841,0.17749182,0.15948815,1.05586215,1.02442834,-0.41561007,-0.30949612,-0.30949612,0,0,0
2016-02,1.03026236,1.06782194,0.33585301,0.36056611,1.02873655,1.06626791,-0.41561007,-0.30949612,-0.30949612,0,0,0
2016-03,0.74456725,0.74666695,0.28237292,0.28391634,0.74567118,0.74777221,-0.41561007,-0.30949612,-0.30949612,0,0,0
2016-04,0.89039555,0.92447881,0.29913030,0.32255323,0.77682149,0.80885705,-0.41561007,-0.30949612,-0.30949612,0,0,0
2016-05,0.95531826,0.94977402,0.22744465,0.22396427,0.87817874,0.87285322,-0.41561007,-0.30949612,-0.30949612,0,0,0
2016-06,0.99096308,0.99194174,0.29548798,0.29612478,0.84149681,0.84240200,-0.41561007,-0.30949612,-0.30949612,0,0,0
2016-07,0.81252293,0.79717990,0.28737702,0.27647935,0.67832602,0.66411896,-0.41561007,-0.30949612,-0.30949612,0,0,0
2016-08,,,0.22776974,0.21809479,0.61390388,0.60118616,,-0.30949612,-0.30949612,,0,0
2016-09,,,0.23549111,0.25090422,0.63705816,0.65748093,,-0.30949612,-0.30949612,,0,0
2016-10,,,0.23461914,0.24304603,0.62050001,0.63156074,,-0.30949612,-0.30949612,,0,0
2016-11,,,0.14592858,0.15468503,0.50305284,0.51453821,,-0.30949612,-0.30949612,,0,0
2016-12,,,0.30792325,0.32062407,0.63913915,0.65505630,,-0.30949612,-0.30949612,,0,0
2017-01,,,0.26987027,0.26107259,0.50416542,0.49374455,,-0.30949612,-0.30949612,,0,0
2017-02,,,0.21567475,0.21765612,0.46903855,0.47143286,,-0.30949612,-0.30949612,,0,0
2017-03,,,0.12229624,0.13783244,0.33603730,0.35453237,,-0.30949612,-0.30949612,,0,0
2017-04,,,0.21815499,0.21349011,0.30014635,0.29516749,,-0.30949612,-0.33663735,,0,0
2017-05,,,0.18015815,0.18186832,0.29702708,0.29890661,,-0.30949612,-0.33663735,,0,0
2017-06,,,0.21944058,0.21413892,0.36430829,0.35837680,,-0.30949612,-0.33663735,,0,0
2017-07,,,0.32967270,0.34133537,0.22688068,0.23764175,,-0.30949612,-0.33663735,,0,0
2017-08,,,0.34198303,0.34494970,0.18150863,0.18412055,,-0.30949612,-0.33663735,,0,0
2017-09,,,0.26087672,0.27589912,0.08708769,0.10003952,,-0.30949612,-0.33663735,,0,0
2017-10,,,0.25378074,0.25062129,-0.02560343,-0.02805885,,-0.30949612,-0.37207815,,0,1
2017-11,,,0.32472154,0.32208743,0.06974161,0.06761451,,-0.30949612,-0.37207815,,0,0
2017-12,,,0.36147624,0.38057586,0.05302234,0.06779478,,-0.30949612,-0.37207815,,0,0
