date,period,value,value_raw,unit,freq,source,provider,source_type,definition_regime,note,value_available_date,vintage_type,release_rule_status,vintage_evidence,historical_realtime_eligible,post_vad_eligible,source_validity_eligible
1970-01-31,1970-01,27.500,27.500,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1970-02-28,1970-02,27.500,27.500,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1970-03-31,1970-03,27.600,27.600,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1970-04-30,1970-04,27.800,27.800,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1970-05-31,1970-05,27.900,27.900,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1970-06-30,1970-06,27.900,27.900,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1970-07-31,1970-07,28.000,28.000,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1970-08-31,1970-08,28.100,28.100,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1970-09-30,1970-09,28.400,28.400,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1970-10-31,1970-10,28.700,28.700,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1970-11-30,1970-11,28.800,28.800,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1970-12-31,1970-12,29.100,29.100,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1971-01-31,1971-01,29.200,29.200,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1971-02-28,1971-02,29.200,29.200,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1971-03-31,1971-03,29.300,29.300,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1971-04-30,1971-04,29.600,29.600,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1971-05-31,1971-05,29.900,29.900,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1971-06-30,1971-06,30.100,30.100,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1971-07-31,1971-07,30.100,30.100,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1971-08-31,1971-08,30.100,30.100,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1971-09-30,1971-09,30.400,30.400,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1971-10-31,1971-10,30.500,30.500,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1971-11-30,1971-11,30.600,30.600,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1971-12-31,1971-12,30.700,30.700,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1972-01-31,1972-01,30.700,30.700,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1972-02-29,1972-02,30.800,30.800,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1972-03-31,1972-03,30.900,30.900,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1972-04-30,1972-04,31.200,31.200,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1972-05-31,1972-05,31.300,31.300,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1972-06-30,1972-06,31.600,31.600,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1972-07-31,1972-07,31.600,31.600,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1972-08-31,1972-08,31.700,31.700,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
1972-09-30,1972-09,31.800,31.800,2025=100指数,M,CPI2025_CORE,总务省(e-Stat),OFFICIAL_CANONICAL,CPI2025BASE,linked level RETROSPECTIVE_REBASE,2026-08-21,RETROSPECTIVE_REBASE,VERIFIED,ARCHIVED_RELEASE_20260821,false,true,true
