date,period,value,value_raw,unit,freq,source,provider,source_type,definition_regime,note,value_available_date,vintage_type,release_rule_status,vintage_evidence,historical_realtime_eligible,post_vad_eligible,source_validity_eligible
1967-01-31,1967-01,282500,282500,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1967-02-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1967-02-28,1967-02,279568,279568,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1967-03-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1967-03-31,1967-03,286207,286207,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1967-04-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1967-04-30,1967-04,289526,289526,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1967-05-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1967-05-31,1967-05,288164,288164,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1967-06-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1967-06-30,1967-06,294324,294324,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1967-07-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1967-07-31,1967-07,298281,298281,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1967-08-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1967-08-31,1967-08,300338,300338,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1967-09-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1967-09-30,1967-09,306631,306631,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1967-10-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1967-10-31,1967-10,308844,308844,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1967-11-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1967-11-30,1967-11,313650,313650,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1967-12-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1967-12-31,1967-12,327609,327609,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1968-01-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1968-01-31,1968-01,326961,326961,亿日元,M,M2_OLD_AVG,BOJ,OFFICIAL,M2_OLD_1967_1999,regime内同比,1968-02-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
