date,period,value,value_raw,unit,freq,source,provider,source_type,definition_regime,note,value_available_date,vintage_type,release_rule_status,vintage_evidence,historical_realtime_eligible,post_vad_eligible,source_validity_eligible
1971-01-31,1971-01,16.4,16.4,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1971-02-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1971-02-28,1971-02,16.7,16.7,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1971-03-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1971-03-31,1971-03,15.7,15.7,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1971-04-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1971-04-30,1971-04,15.9,15.9,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1971-05-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1971-05-31,1971-05,16.9,16.9,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1971-06-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1971-06-30,1971-06,16,16,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1971-07-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1971-07-31,1971-07,16.9,16.9,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1971-08-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1971-08-31,1971-08,17.4,17.4,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1971-09-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1971-09-30,1971-09,17.4,17.4,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1971-10-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1971-10-31,1971-10,16.6,16.6,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1971-11-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1971-11-30,1971-11,16,16,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1971-12-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1971-12-31,1971-12,15.6,15.6,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1972-01-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1972-01-31,1972-01,16.4,16.4,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1972-02-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1972-02-29,1972-02,15.5,15.5,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1972-03-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1972-03-31,1972-03,16.1,16.1,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1972-04-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1972-04-30,1972-04,17.9,17.9,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1972-05-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1972-05-31,1972-05,15.8,15.8,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1972-06-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1972-06-30,1972-06,19.5,19.5,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1972-07-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1972-07-31,1972-07,18.1,18.1,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1972-08-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1972-08-31,1972-08,17.3,17.3,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1972-09-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1972-09-30,1972-09,20.1,20.1,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1972-10-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1972-10-31,1972-10,21.3,21.3,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1972-11-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1972-11-30,1972-11,23,23,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1972-12-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1972-12-31,1972-12,23.5,23.5,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1973-01-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1973-01-31,1973-01,27.4,27.4,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1973-02-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1973-02-28,1973-02,29.9,29.9,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1973-03-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1973-03-31,1973-03,32.6,32.6,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1973-04-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1973-04-30,1973-04,37.6,37.6,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1973-05-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1973-05-31,1973-05,39,39,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1973-06-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1973-06-30,1973-06,35.7,35.7,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1973-07-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1973-07-31,1973-07,40.7,40.7,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1973-08-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1973-08-31,1973-08,39.9,39.9,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1973-09-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1973-09-30,1973-09,41.3,41.3,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1973-10-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1973-10-31,1973-10,42.1,42.1,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1973-11-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1973-11-30,1973-11,43,43,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1973-12-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1973-12-31,1973-12,35.9,35.9,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1974-01-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1974-01-31,1974-01,37.1,37.1,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1974-02-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1974-02-28,1974-02,35.2,35.2,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1974-03-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1974-03-31,1974-03,31.2,31.2,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1974-04-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1974-04-30,1974-04,25.5,25.5,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1974-05-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1974-05-31,1974-05,26.7,26.7,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1974-06-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1974-06-30,1974-06,27.9,27.9,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1974-07-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1974-07-31,1974-07,25.2,25.2,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1974-08-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1974-08-31,1974-08,23.9,23.9,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1974-09-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1974-09-30,1974-09,21.9,21.9,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1974-10-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1974-10-31,1974-10,18.6,18.6,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1974-11-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1974-11-30,1974-11,19,19,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1974-12-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1974-12-31,1974-12,17.1,17.1,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1975-01-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1975-01-31,1975-01,18.4,18.4,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1975-02-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1975-02-28,1975-02,16.3,16.3,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1975-03-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1975-03-31,1975-03,16.4,16.4,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1975-04-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1975-04-30,1975-04,16.6,16.6,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1975-05-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1975-05-31,1975-05,13.7,13.7,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1975-06-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1975-06-30,1975-06,13.1,13.1,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1975-07-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1975-07-31,1975-07,11.1,11.1,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1975-08-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1975-08-31,1975-08,12.3,12.3,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1975-09-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1975-09-30,1975-09,12,12,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1975-10-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1975-10-31,1975-10,11.9,11.9,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1975-11-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1975-11-30,1975-11,10.2,10.2,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1975-12-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1975-12-31,1975-12,8.4,8.4,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1976-01-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1976-01-31,1976-01,4.9,4.9,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1976-02-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1976-02-29,1976-02,6,6,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1976-03-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1976-03-31,1976-03,3.5,3.5,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1976-04-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1976-04-30,1976-04,3.6,3.6,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1976-05-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1976-05-31,1976-05,5.7,5.7,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1976-06-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
1976-06-30,1976-06,2.8,2.8,%同比(官方),M,MONETARY_BASE_YOY,BOJ,OFFICIAL_CANONICAL,,,1976-07-15,REALTIME_ASSUMED,CONSERVATIVE_PROXY,OFFICIAL_NO_REV_AUDIT,conditional,true,true
