date,period,value,value_raw,unit,freq,source,provider,source_type,definition_regime,note,value_available_date,vintage_type,release_rule_status,vintage_evidence,historical_realtime_eligible,post_vad_eligible,source_validity_eligible
1949-12-31,1949,22.06,22.06,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1950-12-31,1950,13.24,13.24,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1951-12-31,1951,17.11,17.11,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1952-12-31,1952,33.55,33.55,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1953-12-31,1953,42.18,42.18,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1954-12-31,1954,33.22,33.22,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1955-12-31,1955,39.06,39.06,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1956-12-31,1956,52.95,52.95,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1957-12-31,1957,54.82,54.82,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1958-12-31,1958,60.95,60.95,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1959-12-31,1959,90.14,90.14,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1960-12-31,1960,112.53,112.53,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1961-12-31,1961,126.59,126.59,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1962-12-31,1962,111.45,111.45,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1963-12-31,1963,122.96,122.96,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1964-12-31,1964,103.77,103.77,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1965-12-31,1965,105.68,105.68,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1966-12-31,1966,114.51,114.51,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1967-12-31,1967,117.6,117.6,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1968-12-31,1968,142.95,142.95,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1969-12-31,1969,179.3,179.3,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,1970-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1970-12-31,1970,185.7,185.7,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,1971-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1971-12-31,1971,209.0,209.0,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,1972-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1972-12-31,1972,401.7,401.7,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,1973-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1973-12-31,1973,422.48,422.48,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,1974-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1974-12-31,1974,342.47,342.47,指数点,Y,TOPIX_OFFICIAL_HIGH,JPX(官方),OFFICIAL,,官方年度值,1975-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
