date,period,value,value_raw,unit,freq,source,provider,source_type,definition_regime,note,value_available_date,vintage_type,release_rule_status,vintage_evidence,historical_realtime_eligible,post_vad_eligible,source_validity_eligible
1949-12-31,1949,11.95,11.95,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1950-12-31,1950,9.59,9.59,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1951-12-31,1951,11.58,11.58,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1952-12-31,1952,17.07,17.07,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1953-12-31,1953,28.46,28.46,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1954-12-31,1954,26.79,26.79,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1955-12-31,1955,30.0,30.0,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1956-12-31,1956,38.81,38.81,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1957-12-31,1957,43.18,43.18,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1958-12-31,1958,43.48,43.48,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1959-12-31,1959,61.11,61.11,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1960-12-31,1960,79.46,79.46,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1961-12-31,1961,90.86,90.86,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1962-12-31,1962,83.39,83.39,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1963-12-31,1963,91.21,91.21,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1964-12-31,1964,87.94,87.94,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1965-12-31,1965,81.29,81.29,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1966-12-31,1966,105.21,105.21,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1967-12-31,1967,99.17,99.17,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1968-12-31,1968,100.0,100.0,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1969-12-31,1969,132.62,132.62,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1970-12-31,1970,147.08,147.08,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,1971-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1971-12-31,1971,148.05,148.05,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,1972-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1972-12-31,1972,199.93,199.93,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,1973-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1973-12-31,1973,284.69,284.69,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,1974-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1974-12-31,1974,251.96,251.96,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,1975-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1975-12-31,1975,268.24,268.24,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,1976-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
1976-12-31,1976,326.28,326.28,指数点,Y,TOPIX_OFFICIAL_LOW,JPX(官方),OFFICIAL,,官方年度值,1977-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
