date,period,value,value_raw,unit,freq,source,provider,source_type,definition_regime,note,value_available_date,vintage_type,release_rule_status,vintage_evidence,historical_realtime_eligible,post_vad_eligible,source_validity_eligible
1949-12-31,1949,12.85,12.85,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1950-12-31,1950,11.57,11.57,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1951-12-31,1951,16.94,16.94,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1952-12-31,1952,33.35,33.35,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1953-12-31,1953,33.3,33.3,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1954-12-31,1954,30.27,30.27,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1955-12-31,1955,39.06,39.06,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1956-12-31,1956,51.21,51.21,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1957-12-31,1957,43.4,43.4,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1958-12-31,1958,60.95,60.95,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1959-12-31,1959,80.0,80.0,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1960-12-31,1960,109.18,109.18,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1961-12-31,1961,101.66,101.66,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1962-12-31,1962,99.67,99.67,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1963-12-31,1963,92.87,92.87,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1964-12-31,1964,90.68,90.68,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1965-12-31,1965,105.68,105.68,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1966-12-31,1966,111.41,111.41,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1967-12-31,1967,100.89,100.89,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1968-12-31,1968,131.31,131.31,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,2026-09-05,RETROSPECTIVE_INDEX_HISTORY,VERIFIED,OFFICIAL_PRELAUNCH_RECONSTRUCTION,false,true,true
1969-12-31,1969,179.3,179.3,指数点,Y,TOPIX_OFFICIAL_YEAREND,JPX(官方),OFFICIAL,,官方年度值,1970-01-31,REALTIME_VERIFIED,VERIFIED,OFFICIAL_DAILY_DERIVABLE_NEXT_YEAR,true,true,true
