date,nikkei225_close,fwd36m_state,fwd36m_loss,fwd36m_mdd,fwd36m_exec,fwd60m_state,fwd60m_loss,fwd60m_mdd,fwd60m_exec,fwd120m_state,fwd120m_loss,fwd120m_mdd,fwd120m_exec
1995-01-31,18649.82,-10.84,1,-35.30,-11.26,4.77,0,-43.18,4.27,-38.94,1,-66.44,-39.23
1995-02-28,17053.43,-1.30,1,-35.30,1.28,17.04,0,-43.18,20.10,-31.15,1,-66.44,-29.35
1995-03-31,16139.95,2.40,0,-35.30,7.45,26.01,0,-43.18,32.22,-27.70,1,-66.44,-24.14
1995-04-28,16806.75,-6.93,1,-35.30,-6.96,6.94,0,-43.18,6.91,-34.50,1,-66.44,-34.52
1995-05-31,15436.79,1.52,0,-35.30,0.49,5.80,0,-43.18,4.73,-26.95,1,-66.44,-27.69
1995-06-30,14517.40,9.04,0,-35.30,9.28,19.93,0,-43.18,20.20,-20.21,1,-66.44,-20.03
1995-07-31,16677.53,-1.79,1,-35.30,0.12,-5.70,1,-43.18,-3.86,-28.65,1,-66.44,-27.26
1995-08-31,18117.22,-22.13,1,-38.61,-22.15,-6.93,1,-43.18,-6.95,-31.48,1,-66.44,-31.50
1995-09-29,17913.06,-25.16,1,-40.85,-24.43,-12.09,1,-43.18,-11.23,-24.22,1,-66.44,-23.48
1995-10-31,17654.64,-23.17,1,-43.18,-22.38,-17.64,1,-43.18,-16.80,-22.93,1,-66.44,-22.14
1995-11-30,18744.42,-20.60,1,-43.18,-20.97,-21.85,1,-43.18,-22.22,-20.66,1,-66.44,-21.03
1995-12-29,19868.15,-30.33,1,-43.18,-32.86,-30.61,1,-43.18,-33.14,-18.91,1,-66.44,-21.86
1996-01-31,20812.74,-30.33,1,-43.18,-30.74,-33.49,1,-43.18,-33.87,-20.00,1,-66.44,-20.47
1996-02-29,20125.37,-28.61,1,-43.18,-28.76,-35.98,1,-43.18,-36.12,-19.48,1,-66.44,-19.65
1996-03-29,21406.85,-26.02,1,-43.18,-26.55,-39.27,1,-47.85,-39.71,-20.31,1,-66.44,-20.87
1996-04-30,22041.30,-24.23,1,-43.18,-23.44,-36.78,1,-47.85,-36.13,-23.30,1,-66.44,-22.50
1996-05-31,21956.19,-26.62,1,-43.18,-25.37,-39.60,1,-47.85,-38.57,-29.55,1,-66.44,-28.35
1996-06-28,22530.75,-22.20,1,-42.83,-21.94,-42.44,1,-47.54,-42.25,-31.18,1,-66.23,-30.95
1996-07-31,20692.83,-13.68,1,-40.40,-14.88,-42.68,1,-46.42,-43.48,-25.30,1,-64.80,-26.34
1996-08-30,20166.90,-13.54,1,-40.40,-13.28,-46.88,1,-50.43,-46.72,-19.96,1,-64.80,-19.73
1996-09-30,21556.40,-18.33,1,-40.40,-17.97,-54.66,1,-56.02,-54.46,-25.18,1,-64.80,-24.86
1996-10-31,20466.86,-12.34,1,-39.86,-13.04,-49.35,1,-55.62,-49.76,-19.87,1,-64.48,-20.52
1996-11-29,21020.36,-11.71,1,-38.73,-10.24,-49.11,1,-54.78,-48.26,-22.58,1,-63.81,-21.28
1996-12-30,19361.35,-2.21,1,-37.72,-2.63,-45.55,1,-54.38,-45.79,-11.03,1,-63.48,-11.42
1997-01-31,18330.01,6.60,0,-37.72,8.04,-45.46,1,-54.38,-44.72,-5.16,1,-63.48,-3.88
1997-02-28,18557.00,7.56,0,-37.72,8.30,-42.94,1,-54.78,-42.55,-5.13,1,-63.48,-4.48
1997-03-31,18003.40,12.96,0,-37.72,13.81,-38.76,1,-54.78,-38.30,-3.98,1,-63.48,-3.26
1997-04-30,19151.12,-6.15,1,-37.72,-6.75,-39.99,1,-54.78,-40.38,-9.14,1,-63.48,-9.73
1997-05-30,20068.81,-18.62,1,-37.72,-20.14,-41.38,1,-54.78,-42.48,-10.93,1,-63.48,-12.60
1997-06-30,20604.96,-15.50,1,-37.49,-13.70,-48.45,1,-54.78,-47.35,-11.97,1,-63.48,-10.10
1997-07-31,20331.43,-22.64,1,-36.65,-20.59,-51.42,1,-54.78,-50.12,-15.16,1,-63.48,-12.90
1997-08-29,18229.42,-7.51,1,-31.25,-6.19,-47.23,1,-54.78,-46.48,-9.11,1,-63.48,-7.82
1997-09-30,17887.71,-11.97,1,-28.00,-11.74,-47.54,1,-56.44,-47.41,-6.16,1,-63.48,-5.92
1997-10-31,16458.94,-11.66,1,-30.57,-11.88,-47.50,1,-59.49,-47.63,1.69,0,-63.48,1.44
1997-11-28,16636.26,-11.95,1,-31.35,-13.87,-44.61,1,-60.14,-45.82,-5.74,1,-63.48,-7.80
1997-12-30,15258.74,-9.65,1,-35.57,-7.83,-43.78,1,-60.14,-42.64,0.32,0,-63.48,2.35
1998-01-30,16628.47,-16.75,1,-36.63,-17.48,-49.85,1,-60.14,-50.29,-18.26,1,-63.48,-18.98
1998-02-27,16831.67,-23.46,1,-38.16,-25.37,-50.31,1,-60.14,-51.56,-19.18,1,-63.48,-21.21
1998-03-31,16527.17,-21.34,1,-43.27,-19.96,-51.76,1,-62.26,-50.91,-24.21,1,-63.48,-22.88
1998-04-30,15641.26,-10.91,1,-43.27,-10.68,-49.93,1,-63.48,-49.80,-11.45,1,-63.48,-11.22
1998-05-29,15670.78,-15.37,1,-43.27,-13.44,-46.24,1,-63.48,-45.01,-8.50,1,-63.48,-6.41
1998-06-30,15830.27,-18.07,1,-43.27,-20.74,-42.62,1,-63.48,-44.49,-14.84,1,-63.48,-17.61
1998-07-31,16378.97,-27.59,1,-44.42,-26.63,-41.61,1,-63.48,-40.84,-18.33,1,-63.48,-17.25
