fy_year,nominal_gdp_billion_yen,nominal_yoy_pct,real_yoy_pct
1955,"9,162.9",-,-
1956,"10,281.7",12.2,6.8
1957,"11,791.2",14.7,8.1
1958,"12,623.5",7.1,6.6
1959,"14,810.3",17.3,11.2
1960,"17,776.8",20.0,12.0
1961,"21,496.4",20.9,11.7
1962,"23,796.2",10.7,7.5
1963,"27,952.3",17.5,10.4
1964,"32,397.5",15.9,9.5
1965,"35,984.3",11.1,6.2
1966,"42,307.8",17.6,11.0
1967,"49,497.7",17.0,11.0
1968,"58,558.0",18.3,12.4
1969,"69,337.1",18.4,12.0
1970,"80,247.0",15.7,8.2
1971,"88,347.3",10.1,5.0
1972,"102,827.2",16.4,9.1
1973,"124,385.3",21.0,5.1
1974,"147,549.8",18.6,-0.5
1975,"162,374.5",10.0,4.0
1976,"182,550.5",12.4,3.8
1977,"202,587.1",11.0,4.5
1978,"222,311.1",9.7,5.4
1979,"240,039.4",8.0,5.1
1980,"261,683.4",9.0,2.6
1981,"278,401.8",6.4,4.1
1982,"291,415.4",4.7,3.2
1983,"305,551.5",4.9,3.9
1984,"324,347.6",6.2,4.4
1985,"345,769.1",6.6,5.4
1986,"360,009.6",4.1,2.7
1987,"381,358.0",5.9,6.0
1988,"407,507.5",6.9,6.2
1989,"434,830.0",6.7,4.0
1990,"470,877.6",8.3,5.6
1991,"496,062.6",5.3,2.5
1992,"505,824.6",2.0,0.6
1993,"504,513.7",-0.3,-0.8
1994,"511,958.8",1.5,1.6
1995,"525,299.5",2.6,3.2
1996,"538,659.6",2.5,2.9
1997,"542,508.0",0.7,-0.1
1998,"534,564.1",-1.5,-1.0
1999,"530,298.6",-0.8,0.6
2000,"537,614.2",1.4,2.6
2001,"527,410.5",-1.9,-0.7
2002,"523,465.9",-0.7,0.9
2003,"526,219.9",0.5,1.9
2004,"529,637.9",0.6,1.7
2005,"534,106.2",0.8,2.2
2006,"537,257.9",0.6,1.3
2007,"538,485.5",0.2,1.1
2008,"516,174.9",-4.1,-3.6
2009,"497,364.2",-3.6,-2.4
2010,"504,873.7",1.5,3.3
2011,"500,046.2",-1.0,0.5
2012,"499,420.6",-0.1,0.6
2013,"512,677.5",2.7,2.7
2014,"523,422.8",2.1,-0.4
2015,"540,740.8",3.3,1.7
2016,"544,829.9",0.8,0.8
2017,"555,712.5",2.0,1.8
2018,"556,570.5",0.2,0.2
2019,"556,845.4",0.0,-0.8
2020,"539,009.1",-3.2,-3.9
2021,"553,642.3",2.7,2.8
2022,"566,489.7",2.3,1.5
