cn_window,cn_range,lag_years,jp_range,coverage_pct,modules_ge50pct,identifiability_grade
WA,2000-2010,20,1980-1990,82.2%,6,OK
WA,2000-2010,25,1975-1985,78.9%,6,OK
WA,2000-2010,30,1970-1980,78.9%,6,OK
WA,2000-2010,35,1965-1975,70.6%,6,OK
WA,2000-2010,40,1960-1970,65.0%,6,LOW
WA,2000-2010,45,1955-1965,65.0%,6,LOW
WB,2005-2015,20,1985-1995,97.2%,6,GOOD
WB,2005-2015,25,1980-1990,97.2%,6,GOOD
WB,2005-2015,30,1975-1985,93.9%,6,GOOD
WB,2005-2015,35,1970-1980,90.6%,6,GOOD
WB,2005-2015,40,1965-1975,73.9%,6,OK
WB,2005-2015,45,1960-1970,65.0%,6,LOW
WC,2010-2020,20,1990-2000,97.2%,6,GOOD
WC,2010-2020,25,1985-1995,97.2%,6,GOOD
WC,2010-2020,30,1980-1990,97.2%,6,GOOD
WC,2010-2020,35,1975-1985,93.9%,6,GOOD
WC,2010-2020,40,1970-1980,90.6%,6,GOOD
WC,2010-2020,45,1965-1975,73.9%,6,OK
WD,2015-2025,20,1995-2005,97.2%,6,GOOD
WD,2015-2025,25,1990-2000,97.2%,6,GOOD
WD,2015-2025,30,1985-1995,97.2%,6,GOOD
WD,2015-2025,35,1980-1990,97.2%,6,GOOD
WD,2015-2025,40,1975-1985,93.9%,6,GOOD
WD,2015-2025,45,1970-1980,90.6%,6,GOOD
