variable_id,country,module,concept,preferred_freq,fallback_freq,target_start,actual_start,official_provider,source_url,format,machine_readable,definition_breaks,vintage_status,comparison_role,priority,status,estimated_cost,note
jp.hist.real_gdp_yoy,JP,GROWTH,Real GDP YoY (68SNA segment),Q,Y,1970,1955Q1,ESRI/Cabinet Office,https://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/2001/qe011/gdemenuja.html,CSV,TRUE,68SNA/1990基准→93SNA→08SNA (勿level concat),RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低,正式系列1955Q1-1979Q4+参考系列1980Q1-2001Q1; growth-only使用; 2026-09-06页面实证
jp.hist.nominal_gdp_yoy,JP,GROWTH,Nominal GDP YoY (68SNA segment),Q,Y,1970,1955Q1,ESRI/Cabinet Office,https://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/2001/qe011/gdemenuja.html,CSV,TRUE,68SNA/1990基准→93SNA→08SNA (勿level concat),RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低,与real_gdp同源同名CSV(gaku_mg01168_1.csv等)
jp.hist.investment_gdp,JP,GROWTH,Private investment / GDP share,Y,Q,1970,1955Q1,ESRI/Cabinet Office,https://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/2001/qe011/gdemenuja.html,CSV,TRUE,68SNA/1990基准→93SNA→08SNA (分子分母同regime),RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低,QE demand-side有民间设备投资/住宅; 或ESRI 1998年报1970+结构表
jp.hist.iip_yoy,JP,GROWTH,Industrial Production YoY,M,Y,1970,1978-01,METI,https://www.meti.go.jp/english/statistics/tyo/iip/b2020_result-2.html,XLSX,TRUE,2020base previous data连接至1978-01; 1970-77无官方月频连接(用GDP/制造产出annual代替),RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P1,AMBER,低,官方connected previous data (Jan 1978-Dec 2022); 2026-09-06页面实证; 1970-77段不强求月频
jp.hist.corp_profit_yoy,JP,GROWTH,Corporate ordinary profit YoY (all industries excl fin),Q,Y,1970,1954Q2,MOF PRI,https://www.mof.go.jp/english/pri/reference/ssc/historical.htm,XLS,TRUE,法人企業統計調査改定/规模样本口径; All excl fin为P0主口径,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低-中,historical.xls含income statement(ordinary profit); 2026-09-06页面实证
jp.hist.cpi_yoy,JP,INFLATION,CPI all items YoY,Y,M,1970,1970,Statistics Bureau,https://www.stat.go.jp/data/cpi/sokuhou/nen/index-z.html,XLSX/e-Stat,TRUE,基准改定(2020/2015/...)逐次; 官方提供1970+连续年均长表(指数=base-linked?),RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低,全国年平均1970年~官方页面实证(e-Stat 00200573/tstat=000001150147); YoY为主不用level
jp.hist.gdp_deflator_yoy,JP,INFLATION,GDP deflator YoY,Y,Q,1970,1955,ESRI/Cabinet Office,https://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/2001/qe011/gdemenuja.html,CSV,TRUE,同GDP SNA regime,RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,P1,GREEN,低,deflator CSV随68SNA段提供
jp.hist.m2_yoy,JP,MONEY_CREDIT,M2 growth (within definition regime),M,Y,1970,1955-01,BOJ,https://www.boj.or.jp/en/statistics/money/ms/index.htm,CSV/API,TRUE,"M2 OLD(1955-1998)/REF(1998-2003)/CURRENT(2003+)三段; 禁level concat, regime内YoY后拼接",RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低,项目已持M2_OLD_EOP 1955-01起531月(FROZEN); BOJ API 2026-02起可降低复核成本
jp.hist.policy_rate,JP,MONEY_CREDIT,Official Discount Rate (basic discount/loan rate),M,Event,1970,1955-08-10,BOJ,https://www.boj.or.jp/en/statistics/boj/other/discount/,CSV,TRUE,1995-09后长期零利率/2001更名basic rate; 事件日转月末(勿月均); 1970-1994覆盖完整,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低,官方CSV四段2026-09-06实测: cdab0040(1955-68)/cdab0050(1969-72)/cdab0100(1972-95)/cdab0101(2001+); SJIS编码
jp.hist.jgb10y,JP,MONEY_CREDIT,JGB 10Y yield (constant-maturity),M,D,1974,1974-09,MOF,https://www.mof.go.jp/jgbs/reference/interest_rate/index.htm,CSV,TRUE,1974-09-24~1998-11-30 TSE收盘/特quotation; 1998-12~2002-07 JSDA报价; 1970-1974无官方constant-maturity,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P1,GREEN,低,官方jgbcm_all.csv 1974年~页面实证; 1970-74初期用policy/prime代替
jp.hist.corp_leverage,JP,MONEY_CREDIT,"Corporate leverage (liabilities/assets, all excl fin)",Q,Y,1970,1954Q2,MOF PRI,https://www.mof.go.jp/english/pri/reference/ssc/historical.htm,XLS,TRUE,同corp_profit; 注意sample改定,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低-中,liabilities/assets同源historical.xls
jp.hist.credit_gdp,JP,MONEY_CREDIT,Total credit to private non-fin sector / GDP,Q,Y,1970,1964Q4,BIS (via FRED),https://fred.stlouisfed.org/series/CRDQJPAPABIS,CSV,TRUE,BIS credit statistics口径; 与国内信贷统计有别,RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,P1,AMBER,低,JP0实证CRDQJPAPABIS 1964Q4起100%; 项目未采(JP1未用); 作为bank credit第二阶段候选; 勿与JP1.5 credit混
jp.hist.export_yoy,JP,EXTERNAL,"Exports YoY (yen, total)",Y,M,1970,1950,Japan Customs (MOF),https://www.customs.go.jp/toukei/suii/html/nenbet_e.htm,HTML/CSV,TRUE,"无重大断点(1950-2024连续, 千日元固定base); 2026年度可能修订",RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低,1950年起年度表2026-09-06实证(1950-2024完整); FRED镜像XTEXVA01 1955+已持
jp.hist.trade_balance_gdp,JP,EXTERNAL,Trade balance / nominal GDP,Y,Q,1970,1950,Japan Customs + ESRI,https://www.customs.go.jp/toukei/suii/html/nenbet_e.htm,derived,TRUE,需export+import同口径与GDP同regime,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,P0,GREEN,低,分子Customs年度、分母ESRI GDP; 或直接FRED NETTRADE_SA 1955+已持
jp.hist.fx_usdjpy,JP,EXTERNAL,USDJPY change / regime,M,D,1970,1957-01(月均)/1971(日),FRED (Fed),https://fred.stlouisfed.org/series/CCUSMA02JPM618N,CSV,TRUE,1971-08尼克松冲击/1973-02浮动转型: 固定汇率段无汇率变动含义(EVENT_ONLY或EXCL固定段),RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,P0,GREEN,低,JP0实证CCUSMA02JPM618N 1957+月均835月100%; USDJPY_DAILY 1971+已持; 汇率非绝对可比
jp.hist.reer,JP,EXTERNAL,Real effective exchange rate (narrow),M,Y,1970,1964-01,BIS (via FRED),https://fred.stlouisfed.org/series/RNJPBIS,CSV,TRUE,BIS窄/宽口径; 指数基期2020=100,RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,P1,GREEN,低,JP0实证RNJPBIS 1964+月均100%
