year,value,variable,country,unit,source_note
1978,18.25,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1980,18.21,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1981,20.91,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1982,22.28,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1983,20.19,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1984,19.9,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1985,21.04,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1986,22.43,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1987,23.33,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1988,22.37,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1989,21.58,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1990,21.06,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1991,19.68,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1992,18.24,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1993,18.09,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1994,17.7,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1995,17.12,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1996,16.98,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1997,16.57,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1998,15.64,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
1999,14.64,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2000,14.03,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2001,13.38,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2002,12.86,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2003,12.41,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2004,12.29,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2005,12.4,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2006,12.09,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2007,12.1,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2008,12.14,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2009,11.95,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2010,11.9,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2011,11.93,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
2012,12.1,birth_rate,CN,per1000,NBS 2013年鉴 3-2 出生率 1978-2012
