year,value,variable,country,unit,source_note
1978,0.7000000000000028,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
1980,7.5,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
1985,9.299999999999997,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
1990,3.0999999999999943,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
1995,17.099999999999994,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
1996,8.299999999999997,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
1997,2.799999999999997,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
1998,-0.7999999999999972,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
1999,-1.4000000000000057,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2000,0.4000000000000057,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2001,0.7000000000000028,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2002,-0.7999999999999972,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2003,1.2000000000000028,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2004,3.9000000000000057,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2005,1.7999999999999972,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2006,1.5,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2007,4.799999999999997,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2008,5.900000000000006,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2009,-0.7000000000000028,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2010,3.299999999999997,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2011,5.400000000000006,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
2012,2.5999999999999943,cpi_yoy,CN,pct,NBS 2013年鉴 10-1 CPI(上年=100)-100 1978-2012
