year,value,variable,country,unit,source_note
2002,20112.0,credit_flow_level,CN,100myuan_per_yr,NBS 社融增量(flow) 19-11 (D01 scheme B) 2002-2012
2003,34113.0,credit_flow_level,CN,100myuan_per_yr,NBS 社融增量(flow) 19-11 (D01 scheme B) 2002-2012
2004,28629.0,credit_flow_level,CN,100myuan_per_yr,NBS 社融增量(flow) 19-11 (D01 scheme B) 2002-2012
2005,30008.0,credit_flow_level,CN,100myuan_per_yr,NBS 社融增量(flow) 19-11 (D01 scheme B) 2002-2012
2006,42696.0,credit_flow_level,CN,100myuan_per_yr,NBS 社融增量(flow) 19-11 (D01 scheme B) 2002-2012
2007,59663.0,credit_flow_level,CN,100myuan_per_yr,NBS 社融增量(flow) 19-11 (D01 scheme B) 2002-2012
2008,69802.0,credit_flow_level,CN,100myuan_per_yr,NBS 社融增量(flow) 19-11 (D01 scheme B) 2002-2012
2009,139104.0,credit_flow_level,CN,100myuan_per_yr,NBS 社融增量(flow) 19-11 (D01 scheme B) 2002-2012
2010,140191.0,credit_flow_level,CN,100myuan_per_yr,NBS 社融增量(flow) 19-11 (D01 scheme B) 2002-2012
2011,128286.0,credit_flow_level,CN,100myuan_per_yr,NBS 社融增量(flow) 19-11 (D01 scheme B) 2002-2012
2012,157631.0,credit_flow_level,CN,100myuan_per_yr,NBS 社融增量(flow) 19-11 (D01 scheme B) 2002-2012
