year,value,variable,country,unit,source_note
1980,84.78682170542633,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
1985,82.48557944415313,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
1990,65.86206896551725,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
1991,17.550242550242533,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
1992,21.98231392778187,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
1993,18.226303389113752,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
1994,20.909555442003057,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
1995,18.69664440875667,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
1996,3.2115644805241095,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
1997,12.170553332413391,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
1998,-0.3721244925575129,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
1999,11.322734989967586,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2000,31.51706735435209,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2001,7.455354319087482,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2002,21.80319827332482,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2003,37.08587721700467,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2004,35.67171334965946,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2005,23.157074184747305,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2006,23.808117250740214,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2007,23.637840539865017,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2008,17.765807096578556,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2009,-13.87767481304969,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2010,34.72032460379846,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2011,22.45669320941086,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
2012,6.185273459166485,export_yoy,CN,pct,NBS 2013年鉴 6-3 出口USD level derived YoY 1978-2012
