year,value,variable,country,unit,source_note
1999,8.758333333333333,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2000,11.491666666666669,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2001,9.691666666666665,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2002,12.708333333333334,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2003,16.675,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2004,16.25,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2005,15.899999999999997,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2006,16.79090909090909,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2007,17.463636363636365,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2008,12.645454545454548,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2009,12.333333333333334,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2010,14.35,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2011,13.841666666666669,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2012,10.033333333333333,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2013,9.681818181818185,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2014,8.254545454545456,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2015,6.063636363636363,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2016,6.1,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2017,6.545454545454544,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2018,6.172727272727273,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2019,5.754545454545456,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2020,3.363636363636365,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2021,6.7399999999999975,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2022,2.95,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
2023,4.588888888888889,iip_yoy,CN,pct,OECD CHNPRINTO01IXPYM 1999-2023 bridge
