year,value,variable,country,unit,source_note
2000,,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
2001,10.27,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
2002,10.2,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
2003,13.33,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
2004,18.13,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
2005,15.15,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
2006,17.58,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
2007,23.4,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
2008,18.62,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
2009,7.69,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
2010,17.47,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
2011,17.21,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
2012,10.18,nominal_gdp_yoy,CN,pct,NBS 2013年鉴 2-1 GDP当年价 derived YoY 2000-2012
