year,value,variable,country,unit,source_note
2000,8.4,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
2001,8.3,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
2002,9.1,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
2003,10.0,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
2004,10.1,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
2005,11.3,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
2006,12.7,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
2007,14.2,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
2008,9.6,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
2009,9.2,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
2010,10.4,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
2011,9.3,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
2012,7.7,real_gdp_yoy,CN,pct,NBS 2013年鉴 2-4 GDP指数(上年=100)-100 2000-2012
