year,value,variable,country,unit,source_note
1978,108.9,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
1980,200.2,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
1985,422.5,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
1990,533.5000000000001,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
1991,637.9,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
1992,805.9,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
1993,1039.6,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
1994,1156.1,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
1995,1320.8,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
1996,1388.3000000000002,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
1997,1423.6999999999998,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
1998,1402.4,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
1999,1657.0000000000002,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2000,2250.8999999999996,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2001,2435.5,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2002,2951.7,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2003,4127.599999999999,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2004,5612.2,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2005,6599.6,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2006,7914.600000000002,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2007,9561.1,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2008,11325.652275220002,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2009,10059.250024179999,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2010,13962.440059999999,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2011,17434.785359579997,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
2012,18184.050000000003,trade_balance_level,CN,usd_100m,"NBS 2013年鉴 6-3 出口-进口 USD 1978-2012 (GDP ratio需汇率折算, H2.6)"
