year,value,variable,country,unit,source_note
1987,15.144261876049804,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
1990,6.002452456054019,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
1991,0.635344258467696,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
1992,1.0722938414025052,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
1993,1.8511702744042902,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
1994,1.0337663841872624,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
1995,1.9097401163218786,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
1996,1.0468869973002226,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
1997,1.4616524244125406,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
1998,1.067077463628352,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
1999,0.9712371647419005,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2000,4.407004266771697,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2001,1.0565830615228977,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2002,0.5037228514627401,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2003,0.7463843547208304,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2004,1.3278227224762684,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2005,2.183676126008849,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2006,0.9246578978099107,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2007,0.8046871712879211,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2008,0.8838291611449112,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2009,0.8316094331816348,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2010,2.5173361782446335,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2011,0.3452140327002695,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
2012,0.11966135835586034,working_age_growth,CN,pct,NBS 2013年鉴 3-4 15-64 pop growth 15-64 canonical 1982-2012
