year,value,variable,country,unit,source_note
1982,54.61788617886179,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
1987,43.54691770422108,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
1990,41.48936170212767,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
1991,41.7948717948718,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
1992,41.66666666666667,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
1993,40.70464767616191,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
1994,40.51620648259304,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
1995,39.583104813329136,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
1996,39.27083333333333,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
1997,38.45925925925926,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
1998,38.01735172806144,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
1999,37.51846381093057,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2000,32.636581712522386,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2001,31.96022727272727,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2002,31.864189054505992,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2003,31.39179563841013,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2004,30.31654083138072,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2005,28.13677717974033,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2006,27.30782176968065,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2007,26.775745306940195,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2008,26.03020273065784,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2009,25.295433096713303,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2010,22.3,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2011,22.10145288832604,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
2012,22.197543898090693,youth_dependency,CN,pct,NBS 2013年鉴 3-4 少儿抚养比(0-14/15-64) 1982-2012
