year,value,variable,country,unit,source_note
1899,32.0,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1900,32.4,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1901,33.9,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1902,33.6,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1903,32.7,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1904,31.2,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1905,31.2,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1906,29.6,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1907,34.0,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1908,34.7,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1909,34.9,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1910,34.8,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1911,35.1,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1912,34.4,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1913,34.3,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1914,34.8,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1915,34.1,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1916,33.7,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1917,33.5,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1918,32.7,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1919,32.3,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1920,36.2,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1921,35.1,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1922,34.3,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1923,35.2,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1924,33.9,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1925,34.9,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1926,34.6,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1927,33.4,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1928,34.1,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1929,32.7,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1930,32.4,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1931,32.1,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1932,32.9,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1933,31.5,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1934,29.9,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1935,31.6,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1936,30.0,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1937,30.9,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1938,27.2,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1939,26.6,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1940,29.4,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1941,31.8,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1942,30.9,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1943,30.9,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1947,34.3,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1948,33.5,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1949,33.0,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1950,28.1,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1951,25.3,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1952,23.4,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1953,21.5,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1954,20.0,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1955,19.4,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1956,18.4,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1957,17.2,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1958,18.0,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1959,17.5,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1960,17.2,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1961,16.9,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1962,17.0,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1963,17.3,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1964,17.7,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1965,18.6,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1966,13.7,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
1967,19.4,birth_rate,JP,per1000,e-Stat 人口動態 0003411595 1899+
