year,value,variable,country,unit,source_note
1965,5905.699999999997,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1966,6327.9000000000015,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1967,7897.800000000003,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1968,8393.299999999996,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1969,11577.099999999999,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1970,12928.199999999997,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1971,18845.70000000001,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1972,22805.0,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1973,25451.79999999999,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1974,21242.20000000001,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1975,24953.79999999999,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1976,26011.800000000017,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1977,22923.599999999977,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1978,22816.100000000035,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1979,27291.79999999999,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1980,28710.79999999999,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1981,32277.0,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1982,33511.0,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1983,35759.70000000001,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1984,36072.899999999965,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1985,38549.20000000001,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1986,45533.79999999999,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1987,76243.5,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1988,69344.5,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1989,91801.5,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1990,87224.40000000002,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
1991,51218.59999999998,credit_flow_level,JP,10亿yen_per_yr,BIS CRDQJPAPUBIS Q4 stock annual difference (D01 scheme B) 1965+
