year,value,variable,country,unit,source_note
1884,9.131213232159604,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1888,9.036520004985666,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1898,8.91103783022713,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1908,8.675951222762711,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1920,9.020088943413587,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1930,8.104319305948634,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1940,8.205055112124668,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1947,8.00504456747109,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1950,8.274598252043981,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1955,8.673646512817703,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1960,8.916369454351521,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1965,9.235297633277552,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1970,10.243691138250007,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1975,11.694170723020301,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1980,13.505422718335764,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1985,15.111628245218531,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1990,17.339122741665115,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
1995,20.949922560660816,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2000,25.521920668058456,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2005,30.528468819863956,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2010,36.09191430545957,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2015,43.86608816474197,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2020,48.45659119893586,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2021,48.60678621282079,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2022,48.830314790858125,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2023,48.98718087408048,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
2024,49.15771484375,dependency_ratio,JP,pct,IPSS 表2-5 65+/15-64 15-64 canonical (ANCHOR)
