year,value,variable,country,unit,source_note
1951,64.0074658215756,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1952,-6.246937162675126,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1953,0.1528033595662892,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1954,27.79898823603977,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1955,23.407516561032303,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1956,24.37263625692616,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1957,14.291655059759002,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1958,0.6487643795190623,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1959,20.160606540632475,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1960,17.302059078595278,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1961,4.465602641922994,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1962,16.06770374148403,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1963,10.90194341515598,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1964,22.396356528946093,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1965,26.652179961363153,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1966,15.67308329371,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1967,6.80395722040914,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1968,24.23092735260697,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1969,23.26881661743223,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1970,20.810939523648496,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1971,20.683421957934623,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1972,4.92452516319406,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1973,13.91488255479958,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1974,61.57102877601712,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1975,2.081914166482579,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1976,20.484983263343647,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1977,8.595358722788337,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1978,-5.0453913270530055,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1979,9.611371959929516,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1980,30.40597059025758,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1981,13.907994441798355,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1982,2.8788338198382446,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1983,1.3846442717996732,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1984,15.514576269739289,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1985,4.043035078897805,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1986,-15.888072474721893,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1987,-5.595178556342373,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1988,1.8729947183146356,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1989,11.442088779572268,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1990,9.60909966489034,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1991,2.1780510261983688,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1992,1.5401088723251188,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1993,-6.532628878703573,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1994,0.7340447693090058,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1995,2.551616962465353,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1996,7.706109092220648,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1997,13.875472204283312,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1998,-0.575185456487981,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
1999,-6.115998531250821,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2000,8.636913952391234,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2001,-5.178579021648133,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2002,6.389872828840515,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2003,4.68133433608906,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2004,12.139008606348135,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2005,7.33458655610375,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2006,14.605747771416322,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2007,11.542466318856558,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2008,-3.4711069986289256,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2009,-33.13762927758908,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2010,24.421012814271425,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2011,-2.749498534106831,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2012,-2.7444690724056864,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2013,9.453882752858656,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2014,4.756537081522771,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2015,3.4488932929060523,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2016,-7.377157308120408,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2017,11.78067524620634,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2018,4.077711198557243,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2019,-5.580703692400757,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2020,-11.091068778281876,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
2021,21.48024568313427,export_yoy,JP,pct,Customs 输出额 annual YoY 1951-2024
