year,value,variable,country,unit,source_note
1955,100.0,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1956,104.73196255313101,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1957,111.94424898742248,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1958,111.99828878927597,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1959,117.01448675088928,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1960,125.62105008785682,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1961,135.64589546234595,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1962,141.74347517944463,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1963,149.12013936994316,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1964,157.7672365243878,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1965,166.10062020999047,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1966,174.97374747417734,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1967,184.58791474955493,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1968,195.34641038697458,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1969,204.97011149670422,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1970,219.05980251975242,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1971,230.89688837865486,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1972,243.836569715068,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1973,274.8173846616953,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1974,332.0065798783941,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1975,355.8364640074451,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1976,384.3315109249851,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1977,410.26976606260234,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1978,429.1579463951425,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1979,440.9670591339676,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1980,464.9465787039535,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1981,484.03409326367023,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1982,492.6841728736736,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1983,501.37269050501015,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1984,514.6226742056388,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1985,525.5121937304999,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1986,534.6949433231574,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1987,535.2325111362712,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1988,538.9019838687052,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1989,549.8396276424033,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1990,562.5368095170105,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1991,577.5681498657873,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1992,587.5952834183374,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1993,591.1927389870426,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1994,592.1987758044507,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1995,588.43612670083,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1996,579.9586618656738,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1997,581.510359902429,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1998,583.4299444780426,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
1999,578.330283629522,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
2000,567.7280201589791,gdp_deflator_level,JP,idx_base1955,ESRI 68SNA 名目/実質 GDE ratio 1955-2000
