year,value,variable,country,unit,source_note
1955,19.42433149329701,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1956,22.818207868567125,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1957,25.764622454712065,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1958,24.856132566040355,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1959,25.59400160725387,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1960,28.968063111738505,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1961,31.891665459961523,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1962,32.19718720662092,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1963,31.57276481199056,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1964,31.691564013770545,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1965,29.76410343788889,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1966,30.289756353156932,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1967,31.94039860944993,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1968,33.16073619631902,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1969,34.454248749375296,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1970,35.50780557638558,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1971,34.24624603786304,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1972,34.11855493250124,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1973,36.39036002353815,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1974,34.783580321772774,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1975,32.45244297741749,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1976,31.184529573467056,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1977,30.1591029937739,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1978,30.40387624129054,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1979,31.673201033100934,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1980,31.568904290563708,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1981,30.589011055465726,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1982,29.46578832419441,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1983,27.995010061504722,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1984,27.70030501469174,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1985,27.476392607547563,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1986,27.27593862942873,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1987,28.348585714302054,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1988,29.64287280478922,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1989,30.568504916145894,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1990,31.733520540768424,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1991,31.42003364615677,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1992,30.471123668237936,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1993,29.541140781575038,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1994,28.64649070515155,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1995,28.477927868081675,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1996,29.466688333246395,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1997,28.570576438161986,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1998,26.79908942718888,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
1999,26.073418971633533,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
2000,25.60981427396578,investment_gdp,JP,pct_of_gdp,ESRI 68SNA fixed cap/GDE 1955-2000
