year,value,variable,country,unit,source_note
1986,5.364,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1987,4.824,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1988,4.611,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1989,5.616,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1990,6.619,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1991,5.575,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1992,4.97,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1993,3.413,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1994,4.555,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1995,3.165,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1996,2.778,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1997,1.934,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1998,2.117,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
1999,1.68,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2000,1.65,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2001,1.369,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2002,0.906,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2003,1.363,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2004,1.437,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2005,1.473,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2006,1.678,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2007,1.502,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2008,1.177,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2009,1.289,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2010,1.127,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2011,0.987,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2012,0.794,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2013,0.736,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2014,0.325,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2015,0.267,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2016,0.043,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2017,0.047,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2018,0.013,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2019,-0.015,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2020,0.035,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2021,0.089,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2022,0.454,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2023,0.647,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2024,1.111,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2025,2.066,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
2026,2.943,jgb10y,JP,pct_year_end,MOF 国債金利 10年 日度→year-end 1974+
