year,value,variable,country,unit,source_note
1955,,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1956,19.755828645082527,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1957,19.72356575637784,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1958,15.890403970616331,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1959,19.96243880405402,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1960,20.58441530636785,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1961,22.085674063550268,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1962,18.231404203916163,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1963,23.89114589143746,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1964,18.98378795927514,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1965,16.49655838343899,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1966,17.55471303603151,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1967,12.123397474420182,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1968,15.607592591390045,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1969,17.204333351997217,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1970,18.312251340643606,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1971,20.345293144667327,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1972,26.497345700989893,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1973,22.97740035557375,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1974,11.963081729659217,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1975,13.068536683073985,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1976,15.12052050310735,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1977,11.401541535312797,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1978,11.733844131752901,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1979,11.871482551395127,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1980,9.223473200853826,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1981,8.901686678802673,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1982,9.222816966878371,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1983,7.359711439977867,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1984,7.805897083763166,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1985,8.371839608449687,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1986,8.658797722140156,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1987,10.35965784040416,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1988,11.208083565788089,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1989,9.904558336485625,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
1990,11.681283614703991,m2_yoy,JP,pct,FRED MYAGM2JPM189S 1955-2017 SA
