year,value,variable,country,unit,source_note
1955,7.3,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1956,7.3,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1957,8.4,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1958,7.3,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1959,7.3,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1960,6.94,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1961,7.3,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1962,6.57,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1963,5.84,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1964,6.57,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1965,5.48,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1966,5.48,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1967,5.84,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1968,5.84,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1969,6.25,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1970,6.0,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1971,4.75,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1972,4.25,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1973,9.0,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1974,9.0,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1975,6.5,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1976,6.5,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1977,4.25,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
1978,3.5,policy_rate,JP,pct_year_end,BOJ 公定歩合 event-day→year-end; 无事件年=前值延续 1955-2026
