year,value,variable,country,unit,source_note
1947,4.54,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1948,4.4,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1949,4.32,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1950,3.65,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1951,3.26,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1952,2.98,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1953,2.69,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1954,2.48,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1955,2.37,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1956,2.22,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1957,2.04,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1958,2.11,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1959,2.04,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1960,2.0,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1961,1.96,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1962,1.98,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1963,2.0,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1964,2.05,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1965,2.14,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1966,1.58,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1967,2.23,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1968,2.13,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1969,2.13,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1970,2.13,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1971,2.16,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1972,2.14,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1973,2.14,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1974,2.05,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1975,1.91,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1976,1.85,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1977,1.8,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1978,1.79,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1979,1.77,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1980,1.75,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1981,1.74,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1982,1.77,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1983,1.8,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1984,1.81,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1985,1.76,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1986,1.72,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1987,1.69,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1988,1.66,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1989,1.57,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1990,1.54,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1991,1.53,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1992,1.5,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1993,1.46,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1994,1.5,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1995,1.42,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1996,1.43,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1997,1.39,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1998,1.38,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
1999,1.34,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
2000,1.36,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
2001,1.33,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
2002,1.32,tfr,JP,children_per_woman,e-Stat 人口動態 0003411595 1947+
