year,value,variable,country,unit,source_note
1955,2.5166666666666666,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1956,2.3000000000000003,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1957,1.925,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1958,2.066666666666667,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1959,2.2083333333333335,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1960,1.6166666666666665,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1961,1.4416666666666667,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1962,1.2916666666666667,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1963,1.2583333333333333,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1964,1.1666666666666667,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1965,1.2333333333333334,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1966,1.3166666666666667,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1967,1.25,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1968,1.175,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1969,1.1333333333333335,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1970,1.175,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1971,1.2333333333333334,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1972,1.4083333333333332,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1973,1.25,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1974,1.4000000000000001,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1975,1.8916666666666666,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1976,2.0083333333333333,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1977,2.0083333333333333,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1978,2.2333333333333334,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
1979,2.0833333333333335,unemployment,JP,%,FRED LRUNTTTTJPM156S 1955+
