year,value,variable,country,unit,source_note
1888,2.604655128314426,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1898,12.131787776808345,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1908,11.20827003594056,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1920,8.63263810221897,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1930,15.954608188928088,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1940,11.344460020631097,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1947,11.134074496389212,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1950,6.145394694654049,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1955,10.211849047484801,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1960,9.634745747227246,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1965,11.54294856838105,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1970,6.929835046617261,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1975,5.92599837911858,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1980,3.99435408339599,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1985,4.656561172068252,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1990,4.1184883523622595,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
1995,1.4679176755447942,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2000,-1.0841507485802815,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2005,-2.4681048480630907,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2010,-3.6388717119345437,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2015,-5.853243163194788,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2020,-4.412169513298114,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2021,2.168040261645854,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2022,-0.3972941050145007,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2023,-0.34497628288054916,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
2024,-0.302899177845084,working_age_growth_anchor,JP,pct_inter_anchor,"IPSS 表2-5 15-64 pop inter-census growth (ANCHOR, not annual)"
