year,value,variable,country,unit,source_note
1884,50.48597493392446,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1888,55.507083800739544,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1898,53.23279854755641,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1908,56.53694942360232,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1920,62.616163165158724,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1930,62.36675747877377,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1940,62.6734131508932,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1947,58.938075796763776,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1950,59.261347617705106,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1955,54.446454347786364,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1960,46.776774107529754,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1965,37.60160172125269,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1970,34.68546516502249,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1975,35.90829342936669,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1980,34.89186275131604,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1985,31.552856761932464,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1990,26.175731048612406,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
1995,22.961050880513966,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2000,21.424263511946183,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2005,20.83551348523046,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2010,20.73625234475269,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2015,20.82475848418514,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2020,20.509304334709213,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2021,19.843229893696982,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2022,19.54371496334627,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2023,19.165134141064474,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
2024,18.758138020833336,youth_dependency,JP,pct,IPSS 表2-5 0-14/15-64 15-64 canonical (ANCHOR)
