year,value,variable,country,unit,source_note
2013,2.6,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
2014,2.0,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
2015,1.4,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
2016,2.0,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
2017,1.6,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
2018,2.1,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
2019,2.9,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
2020,2.5,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
2021,0.9,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
2022,2.0,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
2023,0.2,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
2024,0.2,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
2025,0.0,cpi_yoy,cn,pct,NBS 统计公报 CPI annual avg 2013-2025
