year,value,variable,country,unit,source_note
2013,7.9,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
2014,4.9,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
2015,1.8,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
2016,1.9,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
2017,10.8,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
2018,7.1,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
2019,5.0,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
2020,4.0,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
2021,21.2,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
2022,10.5,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
2023,0.6,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
2024,7.1,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
2025,6.1,export_yoy,cn,pct,NBS 统计公报 goods export RMB YoY 2013-2025; DEFINITION BREAK vs 2000-2012 USD customs
