year,value,variable,country,unit,source_note
2013,568845.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
2014,636463.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
2015,676708.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
2016,744127.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
2017,827122.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
2018,900309.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
2019,990865.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
2020,1015986.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
2021,1143670.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
2022,1210207.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
2023,1260582.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
2024,1349084.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
2025,1401879.0,nominal_gdp_level,cn,100myuan,NBS 统计公报 nominal GDP 2013-2025 (亿元)
