year,value,variable,country,unit,source_note
2001,-1.0083957148174338,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2002,-1.3941319341340352,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2003,-1.7816805245284284,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2004,-1.2804440538815354,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2005,-1.282842289345465,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2006,-0.9317653360366274,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2007,-0.9537322660074676,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2008,-0.9016300542962208,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2009,-0.4551967371005827,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2010,-1.8915645608259202,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2011,-1.5625205145644028,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2012,-0.8222750859140704,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2013,-0.1814130842898054,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2014,1.745985287164098,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2015,2.05573458547863,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2016,0.5750989474113677,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2017,0.042077898577419504,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2018,-0.11713182693078306,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2019,0.7796039764492502,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2020,1.2345944335355075,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2021,-0.05993132452102312,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2022,0.6669723581254061,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2023,4.549632217340083,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2024,3.1912578897352217,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
2025,3.442214002712718,gdp_deflator_yoy,jp,pct,2008SNA implicit deflator (JPNNGDP/JPNRGDPEXP annual ratio) YoY 2001-2025; regime break vs 68SNA deflator (-2000)
