year,value,variable,country,unit,source_note
2001,26573142460.6618,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2002,25630887166.69379,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2003,25592264732.174103,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2004,25454568241.18887,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2005,26074652806.76769,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2006,26021298426.504818,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2007,25265923019.848473,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2008,24783198992.135227,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2009,23840439498.1154,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2010,23021428964.39124,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2011,23965949998.95795,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2012,24420693405.410667,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2013,24977475099.751045,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2014,24863013445.71566,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2015,24466559713.61784,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2016,24445852004.35667,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2017,24445809435.059357,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2018,24408018932.045,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2019,24420891733.0665,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2020,24290237309.802773,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2021,23450840406.53755,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2022,22703060305.49172,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
2023,21957450421.1184,investment_gdp,jp,pct_of_gdp,2008SNA GFCF(JPNGFCFQDSNAQ annual)/NGDP(JPNNGDP) 2001-2023; GFCF series ends 2024Q1 -> 2024-25 gap; definition-break vs 68SNA investment (H2 -2000)
