country,registry_variable,std_variable,std_file,status,n_expected,n_obs,n_valid_in_window,missing_years,coverage_ratio,semantic_status,required_h3_transform,note
jp,jp.hist.real_gdp_yoy,real_gdp_yoy,annual_jp_real_gdp_yoy.csv,FULL_WINDOW,26,45,26,,1.0,EXACT,,正式系列1955Q1-1979Q4+参考系列1980Q1-2001Q1; growth-only使用; 2026-09-06页面实证
jp,jp.hist.nominal_gdp_yoy,nominal_gdp_yoy,annual_jp_nominal_gdp_yoy.csv,FULL_WINDOW,26,45,26,,1.0,EXACT,,与real_gdp同源同名CSV(gaku_mg01168_1.csv等)
jp,jp.hist.investment_gdp,investment_gdp,annual_jp_investment_gdp.csv,FULL_WINDOW,26,46,26,,1.0,EXACT,,QE demand-side有民间设备投资/住宅; 或ESRI 1998年报1970+结构表
jp,jp.hist.iip_yoy,iip_yoy,annual_jp_iip_yoy.csv,FULL_WINDOW,26,72,26,,1.0,EXACT,,官方connected previous data (Jan 1978-Dec 2022); 2026-09-06页面实证; 1970-77段不强求月频
jp,jp.hist.corp_profit_yoy,-,-,NOT_MAPPED,,,,,,,,historical.xls含income statement(ordinary profit); 2026-09-06页面实证
jp,jp.hist.cpi_yoy,cpi_yoy,annual_jp_cpi_yoy.csv,PARTIAL_WINDOW,26,57,25,1970,0.962,EXACT,,全国年平均1970年~官方页面实证(e-Stat 00200573/tstat=000001150147); YoY为主不用level
jp,jp.hist.gdp_deflator_yoy,gdp_deflator_level,annual_jp_gdp_deflator_level.csv,FULL_WINDOW,26,46,26,,1.0,PRE_TRANSFORM,level -> YoY in H3,deflator CSV随68SNA段提供
jp,jp.hist.m2_yoy,m2_yoy,annual_jp_m2_yoy.csv,FULL_WINDOW,26,63,26,,1.0,EXACT,,项目已持M2_OLD_EOP 1955-01起531月(FROZEN); BOJ API 2026-02起可降低复核成本
jp,jp.hist.policy_rate,policy_rate,annual_jp_policy_rate.csv,FULL_WINDOW,26,72,26,,1.0,EXACT,,官方CSV四段2026-09-06实测: cdab0040(1955-68)/cdab0050(1969-72)/cdab0100(1972-95)/cdab0
jp,jp.hist.jgb10y,jgb10y,annual_jp_jgb10y.csv,PARTIAL_WINDOW,26,41,10,"1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985",0.385,EXACT,,官方jgbcm_all.csv 1974年~页面实证; 1970-74初期用policy/prime代替
