country,registry_variable,short_var,semantic_status,h3_action,transform_detail,note
jp,jp.hist.real_gdp_yoy,real_gdp_yoy,EXACT,ROBUSTZ+PCTRANK,std:real_gdp_yoy,
jp,jp.hist.nominal_gdp_yoy,nominal_gdp_yoy,EXACT,ROBUSTZ+PCTRANK,std:nominal_gdp_yoy,
jp,jp.hist.investment_gdp,investment_gdp,EXACT,ROBUSTZ+PCTRANK,std:investment_gdp,
jp,jp.hist.iip_yoy,iip_yoy,EXACT,ROBUSTZ+PCTRANK,std:iip_yoy,
jp,jp.hist.corp_profit_yoy,,NOT_MAPPED,SKIP_GAP,,
jp,jp.hist.cpi_yoy,cpi_yoy,EXACT,ROBUSTZ+PCTRANK,std:cpi_yoy,
jp,jp.hist.gdp_deflator_yoy,gdp_deflator_yoy,PRE_TRANSFORM,PRE_TRANSFORM+STATE,std:gdp_deflator_level | level -> YoY in H3,
jp,jp.hist.m2_yoy,m2_yoy,EXACT,ROBUSTZ+PCTRANK,std:m2_yoy,
jp,jp.hist.policy_rate,policy_rate,EXACT,ROBUSTZ+PCTRANK,std:policy_rate,
jp,jp.hist.jgb10y,jgb10y,EXACT,ROBUSTZ+PCTRANK,std:jgb10y,
jp,jp.hist.corp_leverage,,NOT_MAPPED,SKIP_GAP,,
jp,jp.hist.credit_gdp,credit_gdp,PROXY_STOCK,PROXY_TRACK_STATE,std:credit_stock_level | stock level; D01 note,
jp,jp.hist.export_yoy,export_yoy,EXACT,ROBUSTZ+PCTRANK,std:export_yoy,
jp,jp.hist.trade_balance_gdp,trade_balance_gdp,PRE_TRANSFORM,PRE_TRANSFORM+STATE,std:trade_balance_level | level -> /GDP in H3,
jp,jp.hist.fx_usdjpy,fx_usdjpy,EXACT,ROBUSTZ+PCTRANK,std:fx_usdjpy_level,
jp,jp.hist.reer,reer,EXACT,ROBUSTZ+PCTRANK,std:reer_level,
jp,jp.hist.land_price_yoy,land_price_yoy,EXACT,ROBUSTZ+PCTRANK,std:land_price_yoy,
jp,jp.hist.nikkei_return,nikkei_return,EXACT,ROBUSTZ+PCTRANK,std:equity_return,
jp,jp.hist.working_age_growth,working_age_growth,ANCHOR,ANCHOR_POINTS,std:working_age_growth_anchor,no interpolation; census years only
jp,jp.hist.unemployment,unemployment,EXACT,ROBUSTZ+PCTRANK,std:unemployment,
jp,jp.hist.wage_yoy,wage_yoy,EXACT,ROBUSTZ+PCTRANK,std:wage_yoy,
jp,jp.hist.dependency_ratio,dependency_ratio,ANCHOR,ANCHOR_POINTS,std:dependency_ratio,no interpolation; census years only
jp,jp.hist.corp_land_share,,NOT_MAPPED,SKIP_GAP,,
jp,jp.hist.tfr,tfr,EXACT,ROBUSTZ+PCTRANK,std:tfr,
jp,jp.hist.birth_rate,birth_rate,EXACT,ROBUSTZ+PCTRANK,std:birth_rate,
jp,jp.hist.youth_dependency,youth_dependency,ANCHOR,ANCHOR_POINTS,std:youth_dependency,no interpolation; census years only
cn,cn.hist.real_gdp_yoy,real_gdp_yoy,EXACT,ROBUSTZ+PCTRANK,std:real_gdp_yoy,
cn,cn.hist.nominal_gdp_yoy,nominal_gdp_yoy,EXACT,ROBUSTZ+PCTRANK,std:nominal_gdp_yoy,
cn,cn.hist.investment_gdp,investment_gdp,EXACT,ROBUSTZ+PCTRANK,std:investment_gdp,
cn,cn.hist.iip_yoy,iip_yoy,EXACT,ROBUSTZ+PCTRANK,std:iip_yoy,
cn,cn.hist.corp_profit_yoy,,NOT_MAPPED,SKIP_GAP,,
cn,cn.hist.cpi_yoy,cpi_yoy,EXACT,ROBUSTZ+PCTRANK,std:cpi_yoy,
cn,cn.hist.gdp_deflator_yoy,,NOT_MAPPED,SKIP_GAP,,
cn,cn.hist.m2_yoy,m2_yoy,EXACT,ROBUSTZ+PCTRANK,std:m2_yoy,
cn,cn.hist.policy_rate,,NOT_MAPPED,SKIP_GAP,,
cn,cn.hist.cgb10y,,NOT_MAPPED,SKIP_GAP,,
cn,cn.hist.corp_leverage,,NOT_MAPPED,SKIP_GAP,,
cn,cn.hist.credit_gdp,credit_gdp,PROXY_FLOW,PROXY_TRACK_STATE,std:credit_flow_level | D01 scheme B: flow concept; level kept,
cn,cn.hist.export_yoy,export_yoy,EXACT,ROBUSTZ+PCTRANK,std:export_yoy,
cn,cn.hist.trade_balance_gdp,trade_balance_gdp,PRE_TRANSFORM,DEFERRED_FX,std:trade_balance_level,USD balance / CNY GDP mismatch; FX factor not yet collected
cn,cn.hist.fx_usdcny,,NOT_MAPPED,SKIP_GAP,,
cn,cn.hist.reer,reer,EXACT,ROBUSTZ+PCTRANK,std:reer_level,
cn,cn.hist.property_price_yoy,property_price_yoy,PRE_TRANSFORM,PRE_TRANSFORM+STATE,std:property_price_level | level -> YoY in H3,
cn,cn.hist.equity_return,equity_return,EXACT,ROBUSTZ+PCTRANK,std:equity_return,
cn,cn.hist.working_age_growth,working_age_growth,EXACT,ROBUSTZ+PCTRANK,std:working_age_growth,
cn,cn.hist.unemployment,,NOT_MAPPED,SKIP_GAP,,
cn,cn.hist.wage_yoy,wage_yoy,EXACT,ROBUSTZ+PCTRANK,std:wage_yoy,
cn,cn.hist.dependency_ratio,dependency_ratio,EXACT,ROBUSTZ+PCTRANK,std:dependency_ratio,
cn,cn.hist.corp_land_share,,NOT_MAPPED,SKIP_GAP,,
cn,cn.hist.tfr,,NOT_MAPPED,SKIP_GAP,,
cn,cn.hist.birth_rate,birth_rate,EXACT,ROBUSTZ+PCTRANK,std:birth_rate,
cn,cn.hist.youth_dependency,youth_dependency,EXACT,ROBUSTZ+PCTRANK,std:youth_dependency,
