year,wage_yoy,working_age_growth,dependency_ratio,youth_dependency,birth_rate
1978,,,,,0.2023472278429785
1980,,,,,0.1956023202482127
1981,,,,,0.6508835828949145
1982,,,-1.6494168523806552,2.2347941548191157,0.8818966680156487
1983,,,,,0.5294752461891276
1984,,,,,0.4805746661270739
1985,,,,,0.6728045325779037
1986,,,,,0.9071900714960208
1987,,26.578228606878078,-1.4088552104402012,1.1092314898189166,1.0589504923782544
1988,,,,,0.8970727101038721
1989,,,,,0.763860785107244
1990,,9.33695574720491,-1.3653001271505845,0.900043989880834,0.6761769863752867
1991,,-0.785304808738415,-0.8247567144045661,0.9311045745949196,0.4434776743558614
1992,,0.0387735152771065,-0.61695297918507,0.9180702220809726,0.2006610009442868
1993,,1.5077191570425108,-0.6790424297227812,0.8202637238316423,0.1753675974639147
1994,,-0.0338885116717871,-0.4252551842444458,0.8011052940596634,0.1096047484149465
1995,,1.618180727553956,-0.6744907594765952,0.7062387605690691,0.0118035882908404
1996,,-0.0091432932610912,-0.4292782781753579,0.6744907594765952,-0.0118035882908404
1997,,0.773096148961459,-0.311420596686445,0.5919796874098382,-0.0809388911371915
1998,,0.028935529336753,-0.1372357615358407,0.5470518547962764,-0.2377579927154999
1999,,-0.1518173903685785,0.0905351221614099,0.496330943176984,-0.4063806825846488
2000,,6.327971824971635,-0.1276559046828698,0.0,-0.5092405234048298
2001,1.0413590441919045,0.0091432932610908,0.0,-0.0687635691027666,-0.6188452718197763
2002,-0.1617866348744537,-1.0335401949829457,0.2340541844832774,-0.0785275778334047,-0.706529070551734
2003,-0.9547690142590992,-0.5758853699917316,0.4453798525796702,-0.1265548478565598,-0.7824092809928509
2004,0.2757208847860399,0.5206959618863424,0.4762851132719505,-0.2358737993942277,-0.802644003777149
2005,0.3486388047294557,2.134818656886912,0.4619197185791899,-0.4574859004882601,-0.7840955078915424
2006,-0.0979834549239647,-0.2396649721636444,0.6856210581992117,-0.541764097346136,-0.8363685417509785
2007,1.9801772634633823,-0.4659274040422349,0.794652082158338,-0.5958592203480523,-0.8346823148522872
2008,1.237325954039834,-0.3166671669170465,0.9780762372677284,-0.671657005424729,-0.827937407257521
2009,-1.1871948840787367,-0.4151525473389419,1.187269113384534,-0.7463595275426663,-0.8599757183326595
2010,-0.3942125046940911,2.7640949564329382,1.4235939376760864,-1.0508990686757955,-0.8684068528261167
2011,0.0979834549239647,-1.3324847112589695,1.7008394832209084,-1.0710849464204335,-0.8633481721300424
2012,-1.0459164141883686,-1.7578726212382565,2.022279809017599,-1.0613155704818236,-0.8346823148522872
