year,m2_yoy
1991,2.342777181996187
1992,3.552707716465465
1993,
1994,4.380156840809746
1995,3.091741270972463
1996,2.0204341988805994
1997,0.0
1998,-0.6313621018412326
1999,-0.6575700844266446
2000,-1.2851321566819127
2001,-0.7381219632008023
2002,-0.1374434000442871
2003,0.5740519099287587
2004,-0.6744907594765952
2005,0.0638415590327034
2006,-0.0941741815118267
2007,-0.1487600922191763
2008,0.1272624074484141
2009,2.6368770823311416
2010,0.6141938308275364
2011,-0.9442870632672332
2012,-0.8857463558409627
