year,value,variable,country,unit,transform_id
1978,0.6764705882352942,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1980,0.6176470588235294,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1981,0.7941176470588235,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1982,0.9117647058823529,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1983,0.7647058823529411,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1984,0.7352941176470589,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1985,0.8235294117647058,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1986,0.9705882352941176,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1987,1.0,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1988,0.9411764705882353,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1989,0.8823529411764706,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1990,0.8529411764705882,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1991,0.7058823529411765,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1992,0.6470588235294118,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1993,0.5882352941176471,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1994,0.5588235294117647,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1995,0.5294117647058824,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1996,0.5,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1997,0.47058823529411764,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1998,0.4411764705882353,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
1999,0.4117647058823529,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2000,0.38235294117647056,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2001,0.35294117647058826,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2002,0.3235294117647059,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2003,0.29411764705882354,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2004,0.23529411764705882,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2005,0.2647058823529412,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2006,0.11764705882352941,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2007,0.16176470588235295,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2008,0.20588235294117646,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2009,0.08823529411764706,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2010,0.029411764705882353,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2011,0.058823529411764705,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
2012,0.16176470588235295,birth_rate_pctrank,cn,pct_rank,H3-PCTRANK-cn-birth_rate
