year,value,variable,country,unit,transform_id
1982,0.04,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
1987,0.08,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
1990,0.12,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
1991,0.16,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
1992,0.28,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
1993,0.2,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
1994,0.36,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
1995,0.24,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
1996,0.32,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
1997,0.4,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
1998,0.44,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
1999,0.56,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2000,0.48,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2001,0.52,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2002,0.6,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2003,0.64,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2004,0.72,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2005,0.68,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2006,0.76,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2007,0.8,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2008,0.84,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2009,0.88,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2010,0.92,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2011,0.96,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
2012,1.0,dependency_ratio_pctrank,cn,pct_rank,H3-PCTRANK-cn-dependency_ratio
