year,value,variable,country,unit,transform_id
1980,1.0,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
1985,0.96,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
1990,0.92,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
1991,0.32,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
1992,0.56,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
1993,0.4,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
1994,0.48,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
1995,0.44,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
1996,0.12,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
1997,0.28,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
1998,0.08,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
1999,0.24,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2000,0.76,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2001,0.2,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2002,0.52,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2003,0.88,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2004,0.84,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2005,0.64,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2006,0.72,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2007,0.68,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2008,0.36,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2009,0.04,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2010,0.8,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2011,0.6,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
2012,0.16,export_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-export_yoy
