year,value,variable,country,unit,transform_id
1999,0.44,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2000,0.6,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2001,0.52,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2002,0.72,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2003,0.92,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2004,0.88,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2005,0.84,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2006,0.96,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2007,1.0,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2008,0.68,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2009,0.64,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2010,0.8,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2011,0.76,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2012,0.56,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2013,0.48,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2014,0.4,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2015,0.2,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2016,0.24,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2017,0.32,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2018,0.28,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2019,0.16,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2020,0.08,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2021,0.36,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2022,0.04,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
2023,0.12,iip_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-iip_yoy
