year,value,variable,country,unit,transform_id
1978,0.6,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1979,0.2571428571428571,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1980,0.15714285714285714,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1981,0.05714285714285714,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1982,0.02857142857142857,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1983,0.08571428571428572,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1984,0.11428571428571428,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1985,0.5714285714285714,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1986,0.5142857142857142,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1987,0.34285714285714286,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1988,0.4857142857142857,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1989,0.4142857142857143,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1990,0.2,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1991,0.15714285714285714,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1992,0.4142857142857143,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1993,0.8285714285714286,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1994,0.6857142857142857,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1995,0.6571428571428571,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1996,0.6285714285714286,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1997,0.45714285714285713,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1998,0.3,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
1999,0.3,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2000,0.22857142857142856,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2001,0.37142857142857144,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2002,0.5428571428571428,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2003,0.7142857142857143,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2004,0.8571428571428571,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2005,0.7428571428571429,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2006,0.8,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2007,0.7714285714285715,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2008,0.8857142857142857,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2009,0.9142857142857143,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2010,0.9714285714285714,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2011,1.0,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
2012,0.9428571428571428,investment_gdp_pctrank,cn,pct_rank,H3-PCTRANK-cn-investment_gdp
