year,value,variable,country,unit,transform_id
1991,0.8095238095238095,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
1992,0.9523809523809523,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
1993,,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
1994,1.0,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
1995,0.9047619047619048,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
1996,0.7619047619047619,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
1997,0.5238095238095238,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
1998,0.3333333333333333,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
1999,0.2857142857142857,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2000,0.047619047619047616,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2001,0.19047619047619047,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2002,0.42857142857142855,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2003,0.6666666666666666,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2004,0.23809523809523808,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2005,0.5714285714285714,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2006,0.47619047619047616,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2007,0.38095238095238093,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2008,0.6190476190476191,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2009,0.8571428571428571,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2010,0.7142857142857143,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2011,0.09523809523809523,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
2012,0.14285714285714285,m2_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-m2_yoy
