year,value,variable,country,unit,transform_id
1991,2.342777181996187,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
1992,3.5527077164654646,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
1993,,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
1994,4.380156840809746,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
1995,3.091741270972463,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
1996,2.0204341988805994,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
1997,0.0,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
1998,-0.6313621018412326,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
1999,-0.6575700844266446,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2000,-1.2851321566819127,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2001,-0.7381219632008023,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2002,-0.1374434000442871,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2003,0.5740519099287587,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2004,-0.6744907594765952,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2005,0.06384155903270342,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2006,-0.09417418151182674,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2007,-0.14876009221917635,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2008,0.12726240744841416,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2009,2.6368770823311416,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2010,0.6141938308275364,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2011,-0.9442870632672333,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
2012,-0.8857463558409627,m2_yoy_robustz,cn,robust_z,H3-ROBUSTZ-cn-m2_yoy
