year,value,variable,country,unit,transform_id
1998,,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
1999,0.14285714285714285,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2000,0.2857142857142857,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2001,0.21428571428571427,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2002,0.35714285714285715,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2003,0.42857142857142855,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2004,0.9285714285714286,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2005,0.7857142857142857,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2006,0.5,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2007,0.8571428571428571,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2008,0.07142857142857142,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2009,1.0,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2010,0.6428571428571429,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2011,0.5714285714285714,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
2012,0.7142857142857143,property_price_yoy_pctrank,cn,pct_rank,H3-PRE-cn-property_price_yoy-YOY+PCTRANK
