year,value,variable,country,unit,transform_id
2000,0.23076923076923078,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
2001,0.15384615384615385,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
2002,0.3076923076923077,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
2003,0.6153846153846154,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
2004,0.6923076923076923,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
2005,0.8461538461538461,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
2006,0.9230769230769231,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
2007,1.0,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
2008,0.5384615384615384,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
2009,0.38461538461538464,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
2010,0.7692307692307693,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
2011,0.46153846153846156,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
2012,0.07692307692307693,real_gdp_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-real_gdp_yoy
