year,value,variable,country,unit,transform_id
2000,,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
2001,0.8333333333333334,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
2002,0.4166666666666667,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
2003,0.25,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
2004,0.6666666666666666,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
2005,0.75,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
2006,0.5,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
2007,1.0,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
2008,0.9166666666666666,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
2009,0.08333333333333333,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
2010,0.3333333333333333,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
2011,0.5833333333333334,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
2012,0.16666666666666666,wage_yoy_pctrank,cn,pct_rank,H3-PCTRANK-cn-wage_yoy
