year,value,variable,country,unit,transform_id
1982,1.0,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
1987,0.96,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
1990,0.84,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
1991,0.92,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
1992,0.88,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
1993,0.8,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
1994,0.76,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
1995,0.72,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
1996,0.68,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
1997,0.64,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
1998,0.6,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
1999,0.56,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2000,0.52,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2001,0.48,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2002,0.44,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2003,0.4,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2004,0.36,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2005,0.32,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2006,0.28,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2007,0.24,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2008,0.2,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2009,0.16,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2010,0.12,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2011,0.04,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
2012,0.08,youth_dependency_pctrank,cn,pct_rank,H3-PCTRANK-cn-youth_dependency
