year,value,variable,country,unit,transform_id
1982,2.2347941548191153,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
1987,1.1092314898189166,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
1990,0.900043989880834,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
1991,0.9311045745949195,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
1992,0.9180702220809726,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
1993,0.8202637238316423,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
1994,0.8011052940596634,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
1995,0.7062387605690691,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
1996,0.6744907594765952,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
1997,0.5919796874098382,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
1998,0.5470518547962764,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
1999,0.496330943176984,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2000,0.0,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2001,-0.06876356910276663,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2002,-0.07852757783340479,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2003,-0.12655484785655985,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2004,-0.23587379939422778,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2005,-0.4574859004882601,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2006,-0.541764097346136,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2007,-0.5958592203480523,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2008,-0.671657005424729,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2009,-0.7463595275426663,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2010,-1.0508990686757957,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2011,-1.0710849464204335,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
2012,-1.0613155704818236,youth_dependency_robustz,cn,robust_z,H3-ROBUSTZ-cn-youth_dependency
