year,value,variable,country,unit,transform_id
1899,0.7317073170731707,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1900,0.7601626016260162,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1901,0.8577235772357723,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1902,0.8373983739837398,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1903,0.7804878048780488,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1904,0.6951219512195121,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1905,0.6951219512195121,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1906,0.6422764227642277,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1907,0.8699186991869918,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1908,0.9349593495934959,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1909,0.9634146341463414,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1910,0.9471544715447154,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1911,0.9796747967479674,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1912,0.9186991869918699,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1913,0.9024390243902439,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1914,0.9471544715447154,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1915,0.8821138211382114,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1916,0.8455284552845529,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1917,0.8252032520325203,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1918,0.7804878048780488,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1919,0.7479674796747967,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1920,1.0,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1921,0.9796747967479674,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1922,0.9024390243902439,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1923,0.991869918699187,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1924,0.8577235772357723,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1925,0.9634146341463414,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1926,0.926829268292683,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1927,0.8130081300813008,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1928,0.8821138211382114,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1929,0.7804878048780488,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1930,0.7601626016260162,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1931,0.7398373983739838,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1932,0.7967479674796748,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1933,0.7073170731707317,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1934,0.6504065040650406,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1935,0.7154471544715447,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1936,0.6585365853658537,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1937,0.6747967479674797,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1938,0.6178861788617886,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1939,0.6097560975609756,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1940,0.6341463414634146,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1941,0.7235772357723578,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1942,0.6747967479674797,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1943,0.6747967479674797,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1947,0.9024390243902439,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1948,0.8252032520325203,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1949,0.8048780487804879,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1950,0.6260162601626016,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1951,0.6016260162601627,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1952,0.5934959349593496,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1953,0.5853658536585366,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1954,0.5772357723577236,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1955,0.5609756097560976,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1956,0.4878048780487805,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1957,0.44308943089430897,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1958,0.4796747967479675,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1959,0.4634146341463415,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1960,0.44308943089430897,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1961,0.4146341463414634,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1962,0.42276422764227645,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1963,0.45528455284552843,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1964,0.4715447154471545,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1965,0.5121951219512195,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1966,0.37398373983739835,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1967,0.5609756097560976,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1968,0.5121951219512195,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1969,0.4959349593495935,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1970,0.5284552845528455,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1971,0.5365853658536586,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1972,0.5447154471544715,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1973,0.5609756097560976,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1974,0.5121951219512195,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1975,0.43089430894308944,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1976,0.4065040650406504,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1977,0.3983739837398374,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1978,0.3902439024390244,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1979,0.3821138211382114,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1980,0.36585365853658536,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1981,0.35772357723577236,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1982,0.34959349593495936,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1983,0.34146341463414637,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
1984,0.3333333333333333,birth_rate_pctrank,jp,pct_rank,H3-PCTRANK-jp-birth_rate
