year,value,variable,country,unit,transform_id
1899,0.8948689284144924,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1900,0.9215814337402981,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1901,1.0217533287120697,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1902,1.0017189497177155,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1903,0.9416158127346527,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1904,0.8414439177628809,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1905,0.8414439177628809,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1906,0.734593896459658,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1907,1.0284314550435212,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1908,1.0751783393636813,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1909,1.088534592026584,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1910,1.0818564656951324,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1911,1.101890844689487,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1912,1.055143960369327,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1913,1.0484658340378754,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1914,1.0818564656951324,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1915,1.0351095813749727,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1916,1.0083970760491672,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1917,0.995040823386264,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1918,0.9416158127346527,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1919,0.9149033074088466,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1920,1.175350234335453,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1921,1.101890844689487,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1922,1.0484658340378754,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1923,1.1085689710209385,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1924,1.0217533287120697,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1925,1.088534592026584,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1926,1.0685002130322299,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1927,0.9883626970548125,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1928,1.0351095813749727,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1929,0.9416158127346527,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1930,0.9215814337402981,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1931,0.901547054745944,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1932,0.9549720653975553,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1933,0.8614782967572353,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1934,0.7546282754540122,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1935,0.8681564230886868,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1936,0.7613064017854637,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1937,0.8214095387685265,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1938,0.5743188645048234,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1939,0.5342501065161149,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1940,0.721237643796755,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1941,0.8815126757515896,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1942,0.8214095387685265,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1943,0.8214095387685265,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1947,1.0484658340378754,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1948,0.995040823386264,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1949,0.9616501917290068,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1950,0.6344220014878865,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1951,0.4474344642072462,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1952,0.3205500639096688,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1953,0.1936656636120916,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1954,0.09349376864032002,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1955,0.05342501065161131,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1956,-0.013356252662903063,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1957,-0.09349376864032026,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1958,-0.040068757988708716,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1959,-0.0734593896459659,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1960,-0.09349376864032026,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1961,-0.11352814763467461,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1962,-0.10685002130322309,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1963,-0.08681564230886872,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1964,-0.06010313698306308,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1965,0.0,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1966,-0.32722819024112054,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1967,0.05342501065161131,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1968,0.0,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1969,-0.0066781263314515315,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1970,0.013356252662902827,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1971,0.04006875798870848,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1972,0.04674688432016001,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1973,0.05342501065161131,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1974,0.0,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1975,-0.10017189497177155,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1976,-0.1535969056233831,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1977,-0.20702191627499464,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1978,-0.24709067426370324,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1979,-0.29383755858386335,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1980,-0.33390631657257197,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1981,-0.37397507456128054,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1982,-0.3873313272241834,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1983,-0.39400945355563494,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1984,-0.40736570621853774,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1985,-0.44743446420724636,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1986,-0.4808250958645035,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1987,-0.5008594748588578,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1988,-0.5208938538532121,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1989,-0.5609626118419209,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1990,-0.5743188645048236,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1991,-0.5809969908362751,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1992,-0.5876751171677265,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1993,-0.6010313698306294,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1994,-0.5743188645048236,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1995,-0.6010313698306294,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1996,-0.5943532434991781,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1997,-0.6077094961620808,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1998,-0.6010313698306294,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
1999,-0.6143876224935323,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2000,-0.6077094961620808,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2001,-0.6210657488249837,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2002,-0.6277438751564353,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2003,-0.6477782541507895,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2004,-0.6544563804822409,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2005,-0.6811688858080467,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2006,-0.6611345068136923,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2007,-0.6678126331451438,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2008,-0.6611345068136923,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2009,-0.6744907594765952,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2010,-0.6744907594765952,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2011,-0.6878470121394981,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2012,-0.6945251384709495,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2013,-0.6945251384709495,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2014,-0.7078813911338524,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2015,-0.7078813911338524,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2016,-0.7212376437967553,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2017,-0.7345938964596582,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
2018,-0.747950149122561,birth_rate_robustz,jp,robust_z,H3-ROBUSTZ-jp-birth_rate
