year,value,variable,country,unit,transform_id
1970,,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1971,0.8928571428571429,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1972,0.8571428571428571,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1973,0.9642857142857143,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1974,1.0,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1975,0.9821428571428571,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1976,0.9464285714285714,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1977,0.9285714285714286,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1978,0.8392857142857143,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1979,0.8214285714285714,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1980,0.9107142857142857,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1981,0.875,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1982,0.6964285714285714,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1983,0.6071428571428571,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1984,0.6428571428571429,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1985,0.625,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1986,0.4107142857142857,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1987,0.30357142857142855,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1988,0.42857142857142855,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1989,0.6607142857142857,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1990,0.75,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1991,0.8035714285714286,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1992,0.5892857142857143,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1993,0.5178571428571429,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1994,0.4642857142857143,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
1995,0.21428571428571427,cpi_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-cpi_yoy
