year,value,variable,country,unit,transform_id
1951,1.0,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1952,0.08108108108108109,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1953,0.21621621621621623,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1954,0.9594594594594594,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1955,0.8918918918918919,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1956,0.918918918918919,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1957,0.7027027027027027,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1958,0.22972972972972974,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1959,0.7972972972972973,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1960,0.7702702702702703,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1961,0.40540540540540543,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1962,0.7567567567567568,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1963,0.5945945945945946,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1964,0.8648648648648649,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1965,0.9459459459459459,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1966,0.7432432432432432,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1967,0.4864864864864865,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1968,0.9054054054054054,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1969,0.8783783783783784,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1970,0.8378378378378378,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1971,0.8243243243243243,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1972,0.44594594594594594,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1973,0.6891891891891891,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1974,0.9864864864864865,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1975,0.2972972972972973,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1976,0.8108108108108109,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1977,0.527027027027027,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1978,0.14864864864864866,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1979,0.581081081081081,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1980,0.972972972972973,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1981,0.6756756756756757,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1982,0.35135135135135137,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1983,0.25675675675675674,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1984,0.7297297297297297,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1985,0.3783783783783784,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1986,0.02702702702702703,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1987,0.10810810810810811,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1988,0.28378378378378377,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1989,0.6081081081081081,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1990,0.5675675675675675,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1991,0.3108108108108108,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1992,0.2702702702702703,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1993,0.06756756756756757,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1994,0.24324324324324326,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1995,0.32432432432432434,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1996,0.5135135135135135,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1997,0.6621621621621622,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1998,0.20270270270270271,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
1999,0.0945945945945946,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2000,0.5405405405405406,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2001,0.13513513513513514,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2002,0.47297297297297297,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2003,0.4189189189189189,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2004,0.6486486486486487,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2005,0.5,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2006,0.7162162162162162,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2007,0.6216216216216216,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2008,0.16216216216216217,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2009,0.013513513513513514,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2010,0.9324324324324325,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2011,0.17567567567567569,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2012,0.1891891891891892,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2013,0.5540540540540541,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2014,0.43243243243243246,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2015,0.36486486486486486,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2016,0.05405405405405406,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2017,0.6351351351351351,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2018,0.3918918918918919,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2019,0.12162162162162163,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2020,0.04054054054054054,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2021,0.8513513513513513,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2022,0.7837837837837838,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2023,0.33783783783783783,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
2024,0.4594594594594595,export_yoy_pctrank,jp,pct_rank,H3-PCTRANK-jp-export_yoy
