year,value,variable,country,unit,transform_id
1951,5.272287505303212,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1952,-1.28498473973083,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1953,-0.6876578944465456,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1954,1.8927292851615236,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1955,1.4828464293377406,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1956,1.5729269413938918,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1957,0.6320074345878474,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1958,-0.6413668252379132,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1959,1.1797924988436819,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1960,0.9129868163851601,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1961,-0.28511801322458036,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1962,0.7977768985902044,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1963,0.31562495688311343,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1964,1.3884686916865785,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1965,1.7856906690679804,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1966,0.76094456353938,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1967,-0.06686510770928038,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1968,1.5597003843996666,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1969,1.469900717013341,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1970,1.2404920456111226,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1971,1.228590052869154,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1972,-0.24228397317122727,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1973,0.5968409569790885,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1974,5.0448799644663085,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1975,-0.5076022080488808,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1976,1.210068558285051,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1977,0.10033732875433471,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1978,-1.1728371329704763,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1979,0.1951680456559723,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1980,2.136054860619594,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1981,0.5961980473494429,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1982,-0.43322083261191763,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1983,-0.572682663272833,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1984,0.746150135506747,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1985,-0.3245588231236825,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1986,-2.1848507453742645,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1987,-1.2241521308376067,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1988,-0.5271019353361026,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1989,0.36604002065021607,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1990,0.19495595849047107,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1991,-0.498629168137341,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1992,-0.5581722031905042,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1993,-1.3116500913753304,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
1994,-0.6334070859296077,export_yoy_robustz,jp,robust_z,H3-ROBUSTZ-jp-export_yoy
